Player,Team,Player Fit Score,Trade Value Score,Net Rating Impact,Salary Cap Impact Score,On-Off Impact
A.J. Green,MIL,4.8987781258529306e-08,2.39,-2.785088395279658,0.108144598340233,-2.796741484799663
Alec Burks,MIA,-5.3087177179745154e-08,-1.85,3.6078963519479568,-0.0303048318730319,3.6273984943909174
Amir Coffey,LAC,7.05201419344874e-08,3.47,-7.885411007028433,-0.0056758137116967,-7.88541100702843
Ariel Hukporti,NYK,8.433965101675008e-08,4.15,-3.791850813904011,-0.040417405870822,-3.791850813904016
Bismack Biyombo,SAS,-5.7965458325992e-08,-2.02,1.9424588398861709,0.108799588628645,1.942458839886167
Bobby Portis,MIL,4.8987781258529306e-08,2.39,1.9984199822692987,0.108144598340233,2.0067815721532756
Branden Carlson,OKC,3.628002827667077e-07,13.01,-87.19308912267017,-0.0721684335386055,-87.19308912267012
Bruno Fernando,TOR,-1.4437947368128786e-07,-5.2,-19.339533004949303,-0.0444684895580186,-19.30234159532439
Caleb Houstan,ORL,-5.32e-08,-1.33,1.2569738064520997,-0.2458188289446188,1.2664247373276825
Cam Thomas,BRK,-1.5395416399652416e-07,-6.16,-2.2473107109469073,1.848441653178013,-2.2436624792732944
Cameron Payne,NYK,8.433965101675008e-08,4.15,6.205237175917433,-0.040417405870822,6.205237175917441
Chris Boucher,TOR,-1.4437947368128786e-07,-5.2,-7.569497488850505,-0.0444684895580186,-7.554940762910404
Chris Duarte,CHI,-1.1871739594981116e-07,-2.54,43.552589528949255,0.2304328125079025,43.55258952894911
Christian Braun,DEN,7.235110638261624e-08,3.72,-11.892245894433875,-0.0847526992765661,-11.892245894433872
Chuma Okeke,PHI,-1.0891564401684164e-07,-5.6,3.532561988456282,-0.0309394938546513,3.532561988456279
Clint Capela,ATL,-4.020269595096108e-08,-1.73,11.59446919156183,0.1595899003749404,11.594469191561856
Collin Sexton,UTA,-1.7877296307887826e-07,-7.54,-4.518849123850981,0.0214512147058481,-4.524842292450251
Cory Joseph,ORL,-5.32e-08,-1.33,1.618426180711321,-0.2458188289446188,1.6305947986114102
D'Angelo Russell,BRK,-1.5395416399652416e-07,-6.16,-5.3122256439729805,1.848441653178013,-5.303601901044457
Dalano Banton,POR,-8.204645381993293e-08,-2.79,-2.4443418519806257,-0.0219220116701487,-2.4443418519806186
Dante Exum,DAL,-7.866830296736841e-09,-0.34,-0.8995998278335267,-0.0780422912977279,-0.9260586462992412
Dario Šarić,DEN,7.235110638261624e-08,3.72,-10.126799094255823,-0.0847526992765661,-10.12679909425582
David Roddy,ATL,-4.020269595096108e-08,-1.73,5.226797306386626,0.1595899003749404,5.226797306386637
Day'Ron Sharpe,BRK,-1.5395416399652416e-07,-6.16,-12.193429470765256,1.848441653178013,-12.173634942403636
De'Anthony Melton,GSW,4.37580127377423e-08,2.44,2.283146636549642,0.0308099399106433,2.28314663654964
Doug McDermott,SAC,1.5719054682998314e-08,0.7,-1.4153239358748992,-0.0009915644528828,-1.4153239358749052
Elfrid Payton,NOP,-2.5132284856886204e-07,-9.23,20.142683041301854,-0.0016979828681875,20.142683041301865
Gabe Vincent,LAL,1.8879987818303512e-08,0.92,-1.1448364185426279,-0.0064306956196978,-1.1323925444280296
