,Unadjusted,Adjusted,Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg
Oklahoma City Thunder,W,NW,56,12,.824,12.44,119.67,107.30,12.37,12.48,119.61,107.20,12.41
Cleveland Cavaliers,E,C,56,11,.836,11.00,122.34,111.35,10.99,10.07,122.28,112.22,10.06
Boston Celtics,E,A,49,19,.721,8.44,120.47,111.65,8.82,8.10,120.46,111.99,8.47
Memphis Grizzlies,W,SW,43,26,.623,5.87,118.28,112.63,5.66,5.57,118.02,112.67,5.35
Minnesota Timberwolves,W,NW,40,30,.571,4.11,115.75,111.51,4.25,4.73,115.98,111.12,4.86
Houston Rockets,W,SW,44,25,.638,4.54,114.50,110.16,4.34,4.95,114.60,109.84,4.76
Denver Nuggets,W,NW,44,25,.638,4.42,120.14,115.85,4.29,4.36,120.16,115.93,4.23
New York Knicks,E,A,43,24,.642,4.55,118.89,114.33,4.56,3.98,118.93,114.93,4.00
Los Angeles Clippers,W,P,38,30,.559,3.00,113.49,110.41,3.08,2.88,113.18,110.23,2.95
Golden State Warriors,W,P,39,29,.574,2.46,114.44,111.97,2.47,2.90,114.57,111.66,2.91
Milwaukee Bucks,E,C,38,29,.567,2.13,114.94,112.82,2.12,1.74,115.03,113.30,1.73
Detroit Pistons,E,C,38,31,.551,2.30,114.27,111.98,2.29,1.68,114.03,112.35,1.68
Los Angeles Lakers,W,P,42,25,.627,1.64,115.37,113.69,1.68,1.48,115.03,113.51,1.53
Sacramento Kings,W,P,34,33,.507,0.91,116.66,115.71,0.95,0.71,116.51,115.77,0.74
Indiana Pacers,E,C,38,29,.567,1.04,116.25,115.12,1.14,0.51,116.19,115.59,0.60
Dallas Mavericks,W,SW,33,36,.478,-0.43,115.46,115.84,-0.38,0.14,115.52,115.34,0.18
Phoenix Suns,W,P,32,37,.464,-1.36,116.61,117.95,-1.34,-1.64,116.58,118.21,-1.63
Miami Heat,E,SE,29,39,.426,-1.68,111.90,113.70,-1.80,-1.74,111.92,113.77,-1.85
Orlando Magic,E,SE,32,37,.464,-1.45,108.34,109.81,-1.47,-1.82,107.99,109.84,-1.85
Atlanta Hawks,E,SE,32,36,.471,-2.57,113.08,115.47,-2.39,-2.54,113.06,115.41,-2.35
San Antonio Spurs,W,SW,28,39,.418,-2.49,114.59,117.02,-2.43,-2.48,114.65,117.08,-2.43
Portland Trail Blazers,W,NW,30,39,.435,-3.62,111.75,115.15,-3.40,-3.40,111.77,114.97,-3.20
Chicago Bulls,E,C,29,39,.426,-3.26,112.81,116.00,-3.19,-3.44,112.87,116.22,-3.35
Toronto Raptors,E,A,24,45,.348,-5.13,110.66,115.88,-5.23,-4.53,110.91,115.52,-4.62
Philadelphia 76ers,E,A,23,45,.338,-4.99,112.47,117.64,-5.17,-4.81,112.70,117.68,-4.98
Brooklyn Nets,E,A,23,45,.338,-6.04,109.67,115.82,-6.15,-5.81,109.79,115.72,-5.92
Utah Jazz,W,NW,15,54,.217,-7.62,111.64,119.30,-7.66,-7.15,111.76,118.95,-7.19
Charlotte Hornets,E,SE,17,50,.254,-7.67,107.78,115.59,-7.81,-7.84,107.78,115.74,-7.97
New Orleans Pelicans,W,SW,18,51,.261,-8.71,110.73,119.68,-8.94,-7.94,110.80,118.98,-8.17
Washington Wizards,E,SE,15,52,.224,-11.79,106.96,118.57,-11.61,-11.19,107.22,118.22,-11.00
