Player,Team,Player Fit Index,Trade Value Index,Salary Cap Impact,Fit Category,Value Tier,Cap Impact Tier
A.J. Green,MIL,-22.99391208102255,-0.2274062660874081,1.1613859066891103,Bad Fit,Overpaid,Low Impact
Aaron Holiday,HOU,-9.660456130355112,-0.0259430487786857,2.781793175584349,Bad Fit,Overpaid,Low Impact
Aaron Nesmith,IND,3.524173888476468,-0.092551210155883,6.525488049111401,Ok Fit,Overpaid,Mid Impact
Ajay Mitchell,OKC,-13.909862983122869,-0.0713480908943782,1.8187070387296584,Bad Fit,Overpaid,Low Impact
Alec Burks,MIA,7.157925121587216,-0.0228669679840269,1.2060437035524227,Good Fit,Overpaid,Low Impact
Amen Thompson,HOU,45.747219338883454,0.4472989872814382,5.512312682611012,Good Fit,Good Value,Mid Impact
Amir Coffey,LAC,-16.438361857598437,-0.1402106807903389,2.3211295232344797,Bad Fit,Overpaid,Low Impact
Andre Jackson Jr.,MIL,-77.29409258113134,-0.3590841241959469,1.0360651245942436,Bad Fit,Overpaid,Low Impact
Anfernee Simons,POR,15.6088694603613,0.0568620554075314,15.496667587606105,Good Fit,Fairly Paid,High Impact
Anthony Black,ORL,-37.15154639268346,-0.2574209551791764,5.059722369702318,Bad Fit,Overpaid,Mid Impact
Antonio Reeves,NOP,-57.46234566737348,-0.4463157039235203,0.6796065956349436,Bad Fit,Overpaid,Low Impact
Ausar Thompson,DET,28.030774799814036,0.1854669750298337,5.906568744745503,Good Fit,Fairly Paid,Mid Impact
Austin Reaves,LAL,40.57981214612798,0.2564773444743079,6.901506972957559,Good Fit,Fairly Paid,Mid Impact
Ayo Dosunmu,CHI,-13.440969955819384,-0.174757947410401,4.218917101135747,Bad Fit,Overpaid,Low Impact
Ben Sheppard,IND,-16.23529225230616,-0.1943616604986741,1.5802833731151706,Bad Fit,Overpaid,Low Impact
Bennedict Mathurin,IND,-27.15729860435944,-0.3107164441953146,4.298350842473405,Bad Fit,Overpaid,Low Impact
