Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Mikal Bridges,28,NYK,SF,67,67,2531,13.7,.583,.410,.088,2.7,6.9,4.8,13.0,1.2,1.4,9.3,19.1,3.0,1.6,4.5,.086,0.3,-1.0,-0.7,0.9,,bridgmi01
2,Anthony Edwards,23,MIN,SG,67,67,2442,19.9,.592,.493,.311,2.2,15.2,8.8,21.3,1.5,1.6,12.2,31.5,3.6,3.1,6.8,.133,4.3,-0.2,4.1,3.8,,edwaran01
3,Josh Hart,29,NYK,SG,64,64,2417,16.9,.622,.325,.273,6.6,22.7,14.8,20.0,1.9,0.9,15.5,15.5,4.9,3.1,7.9,.158,1.4,1.5,3.0,3.0,,hartjo01
4,Devin Booker,28,PHO,SG,63,63,2357,19.7,.594,.407,.361,3.1,8.9,6.1,29.8,1.3,0.6,11.4,28.9,5.6,0.6,6.2,.127,2.9,-2.1,0.8,1.7,,bookede01
5,James Harden,35,LAC,PG,66,66,2316,19.3,.570,.529,.450,2.2,16.5,9.4,37.2,2.1,1.8,18.4,29.9,2.6,3.5,6.1,.126,3.0,0.5,3.5,3.2,,hardeja01
6,Trae Young,26,ATL,PG,64,64,2311,17.6,.560,.464,.406,1.4,8.4,4.8,46.2,1.5,0.4,18.3,29.8,2.9,1.1,4.0,.084,2.7,-2.9,-0.2,1.0,,youngtr01
7,Jalen Green,22,HOU,SG,69,69,2307,15.2,.547,.470,.221,1.7,13.1,7.3,15.9,1.3,0.9,11.6,27.1,1.8,2.8,4.6,.097,1.3,-0.5,0.8,1.6,,greenja05
8,Jayson Tatum,26,BOS,PF,63,63,2307,21.9,.588,.503,.307,2.0,24.0,13.0,26.5,1.5,1.3,11.3,31.1,4.8,3.6,8.4,.174,4.6,0.7,5.4,4.3,,tatumja01
9,Tyler Herro,25,MIA,SG,65,65,2306,19.0,.592,.514,.226,1.3,15.1,8.2,27.6,1.2,0.7,11.4,28.1,3.4,2.1,5.5,.114,3.5,-0.9,2.7,2.7,,herroty01
10,Bam Adebayo,27,MIA,C,66,66,2272,18.4,.557,.191,.301,8.0,23.4,15.8,20.2,1.8,2.0,12.1,23.0,2.6,3.3,5.9,.124,0.5,0.9,1.4,1.9,,adebaba01
