Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,Awards,-9999,Rk,Player,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,-9999,Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
271.0,A.J. Green,25.0,MIL,SG,61.0,6.0,22.4,2.5,5.9,0.425,2.1,5.0,0.417,0.4,0.8,0.471,0.603,0.3,0.4,0.833,0.2,2.0,2.2,1.4,0.6,0.1,0.5,2.2,7.4,,greenaj01,157.0,A.J. Green,25.0,MIL,SG,61.0,6.0,1368.0,9.2,0.613,0.858,0.067,1.1,9.3,5.4,8.2,1.2,0.4,8.2,12.8,1.2,1.1,2.4,0.082,-2.0,-0.3,-2.3,-0.1,,greenaj01,157.0,A.J. Green,25.0,MIL,SG,61.0,6.0,1368.0,5.3,12.6,0.425,4.5,10.8,0.417,0.8,1.8,0.471,0.603,0.7,0.8,0.833,0.5,4.3,4.8,3.0,1.2,0.2,1.2,4.6,15.9,118.0,116.0,,greenaj01,157,A.J. Green,25,MIL,SG,61,6,1368,19,81,1,0,0,2.6,1.4,15,8,81,6,6,16,228,2,3,,greenaj01,362,A.J. Green,MIL,$2120693,$2301587,,,,,$2120693,greenaj01,11,MIL,E,C,39,30,0.565,2.33,114.81,112.48,2.33,1.99,114.94,112.93,2.0
342.0,Aaron Holiday,28.0,HOU,PG,52.0,3.0,12.8,1.8,4.2,0.432,1.1,2.8,0.389,0.8,1.5,0.513,0.559,0.6,0.8,0.825,0.2,1.1,1.3,1.3,0.3,0.1,0.6,1.1,5.4,,holidaa01,302.0,Aaron Holiday,28.0,HOU,PG,52.0,3.0,667.0,11.8,0.587,0.655,0.182,1.7,9.1,5.3,13.7,1.2,0.9,11.5,16.5,0.9,0.7,1.7,0.12,-0.9,0.3,-0.5,0.2,,holidaa01,302.0,Aaron Holiday,28.0,HOU,PG,52.0,3.0,667.0,6.9,16.1,0.432,4.1,10.5,0.389,2.8,5.5,0.513,0.559,2.4,2.9,0.825,0.8,4.1,4.9,4.9,1.2,0.5,2.3,4.1,20.4,120.0,114.0,,holidaa01,302,Aaron Holiday,28,HOU,PG,52,3,667,100,0,0,0,0,4.7,0.5,17,9,29,4,8,11,163,2,8,,holidaa01,257,Aaron Holiday,HOU,$4668000,$4901400,,,,,$4668000,holidaa01,5,HOU,W,SW,45,25,0.643,4.59,114.6,110.19,4.4,4.98,114.77,109.97,4.8
305.0,Ajay Mitchell,22.0,OKC,SG,34.0,1.0,16.5,2.5,4.9,0.506,0.6,1.5,0.431,1.8,3.4,0.539,0.572,0.8,1.0,0.848,0.5,1.5,2.0,1.7,0.7,0.1,0.8,1.7,6.4,,mitchaj01,332.0,Ajay Mitchell,22.0,OKC,SG,34.0,1.0,561.0,12.3,0.604,0.307,0.199,3.3,9.3,6.4,13.1,2.1,0.5,13.4,15.8,0.7,0.8,1.5,0.128,-2.2,1.0,-1.2,0.1,,mitchaj01,332.0,Ajay Mitchell,22.0,OKC,SG,34.0,1.0,561.0,7.2,14.2,0.506,1.9,4.4,0.431,5.3,9.9,0.539,0.572,2.4,2.8,0.848,1.5,4.3,5.7,4.9,2.1,0.3,2.4,5.1,18.7,118.0,110.0,,mitchaj01,332,Ajay Mitchell,22,OKC,SG,34,1,561,12,49,30,9,1,9.4,-4.0,16,8,33,3,17,11,141,6,11,,mitchaj01,308,Ajay Mitchell,OKC,$3000000,$3000000,,,,,$3000000,mitchaj01,1,OKC,W,NW,57,12,0.826,12.74,119.87,107.2,12.67,12.71,119.77,107.13,12.64
303.0,Alec Burks,33.0,MIA,SG,36.0,4.0,17.7,2.0,4.9,0.407,1.5,3.6,0.419,0.5,1.3,0.375,0.559,0.9,1.1,0.756,0.4,2.3,2.7,1.1,0.6,0.2,0.4,0.7,6.4,,burksal01,307.0,Alec Burks,33.0,MIA,SG,36.0,4.0,637.0,12.1,0.587,0.729,0.232,2.3,14.4,8.4,9.2,1.7,0.9,7.6,14.7,0.6,0.7,1.3,0.097,-0.7,0.6,-0.1,0.3,,burksal01,307.0,Alec Burks,33.0,MIA,SG,36.0,4.0,637.0,5.6,13.9,0.407,4.2,10.1,0.419,1.4,3.8,0.375,0.559,2.4,3.2,0.756,1.0,6.6,7.6,3.2,1.7,0.5,1.3,2.0,17.9,117.0,114.0,,burksal01,307,Alec Burks,33,MIA,SG,36,4,637,9,56,33,2,0,5.2,8.5,11,1,17,3,14,5,92,2,4,,burksal01,389,Alec Burks,MIA,$2087519,,,,,,$2087519,burksal01,18,MIA,E,SE,29,40,0.42,-1.7,111.97,113.79,-1.82,-1.75,112.02,113.87,-1.85
181.0,Amir Coffey,27.0,LAC,SG,67.0,13.0,25.3,3.5,7.4,0.471,1.5,3.6,0.413,2.0,3.8,0.525,0.57,1.6,1.8,0.908,0.5,1.8,2.3,1.1,0.6,0.1,0.6,1.7,10.1,,coffeam01,95.0,Amir Coffey,27.0,LAC,SG,67.0,13.0,1698.0,11.3,0.614,0.483,0.239,2.1,8.1,5.1,6.2,1.1,0.4,7.1,15.1,2.4,1.5,3.9,0.11,-1.5,-0.4,-1.9,0.1,,coffeam01,95.0,Amir Coffey,27.0,LAC,SG,67.0,13.0,1698.0,6.8,14.4,0.471,2.9,6.9,0.413,3.9,7.4,0.525,0.57,3.1,3.4,0.908,0.9,3.6,4.5,2.2,1.1,0.2,1.2,3.4,19.5,123.0,116.0,,coffeam01,95,Amir Coffey,27,LAC,SG,67,13,1698,0,16,63,21,1,-1.1,-8.3,18,14,61,5,56,9,182,10,27,,coffeam01,277,Amir Coffey,LAC,$3938271,,,,,,$3938271,coffeam01,8,LAC,W,P,39,30,0.565,3.14,113.87,110.64,3.23,3.18,113.61,110.34,3.27
489.0,Ariel Hukporti,22.0,NYK,C,25.0,1.0,8.7,0.8,1.2,0.677,0.0,0.0,,0.8,1.2,0.677,0.677,0.2,0.5,0.462,0.6,1.5,2.0,0.4,0.0,0.6,0.8,1.3,1.9,,hukpoar01,427.0,Ariel Hukporti,22.0,NYK,C,25.0,1.0,217.0,7.6,0.654,0.0,0.419,7.5,19.2,13.4,6.3,0.2,6.4,36.4,11.5,-0.2,0.2,0.1,0.02,-6.4,0.8,-5.6,-0.2,,hukpoar01,427.0,Ariel Hukporti,22.0,NYK,C,25.0,1.0,217.0,4.8,7.1,0.677,0.0,0.0,,4.8,7.1,0.677,0.677,1.4,3.0,0.462,3.2,8.4,11.6,2.5,0.2,3.4,4.8,7.3,10.9,95.0,113.0,,hukpoar01,427,Ariel Hukporti,22,NYK,C,25,1,217,0,0,0,8,92,-13.4,-19.3,12,5,24,4,6,0,27,1,2,,hukpoar01,450,Ariel Hukporti,NYK,$1064049,$1955377,,,,,$1064049,hukpoar01,9,NYK,E,A,43,26,0.623,3.96,118.57,114.62,3.94,3.27,118.55,115.3,3.25
324.0,Ben Simmons,28.0,LAC,PG,8.0,0.0,18.9,1.9,4.0,0.469,0.0,0.0,,1.9,4.0,0.469,0.469,0.8,0.9,0.857,1.1,2.9,4.0,4.3,1.3,0.5,0.4,1.6,4.5,,simmobe01,237.0,Ben Simmons,28.0,2TM,PG,41.0,24.0,976.0,13.4,0.554,0.0,0.163,4.4,20.1,11.9,39.7,1.8,2.0,29.6,13.8,0.7,1.1,1.8,0.087,-2.0,1.7,-0.3,0.4,,simmobe01,237.0,Ben Simmons,28.0,2TM,PG,41.0,24.0,976.0,5.5,10.3,0.535,0.0,0.0,,5.5,10.3,0.535,0.535,1.2,1.7,0.727,2.0,8.4,10.4,13.4,1.8,1.0,4.7,4.8,12.3,112.0,113.0,,simmobe01,237,Ben Simmons,28,2TM,PG,41,24,976,71,27,3,0,0,-2.4,3.5,57,15,42,11,17,11,655,5,9,,simmobe01,27,Ben Simmons,BRK,$40011909,,,,,,$39256083,simmobe01,8,LAC,W,P,39,30,0.565,3.14,113.87,110.64,3.23,3.18,113.61,110.34,3.27
88.0,Bennedict Mathurin,22.0,IND,SF,61.0,46.0,30.2,5.5,11.9,0.465,1.5,4.1,0.363,4.1,7.9,0.518,0.527,3.4,4.1,0.832,1.2,4.1,5.2,1.9,0.6,0.4,1.9,2.3,16.0,,mathube01,65.0,Bennedict Mathurin,22.0,IND,SF,61.0,46.0,1842.0,13.3,0.582,0.341,0.344,4.4,15.1,9.8,8.6,0.9,1.1,12.0,22.3,1.1,1.2,2.3,0.06,-1.3,-1.7,-3.0,-0.5,,mathube01,65.0,Bennedict Mathurin,22.0,IND,SF,61.0,46.0,1842.0,8.8,19.0,0.465,2.4,6.5,0.363,6.5,12.5,0.518,0.527,5.4,6.5,0.832,1.9,6.5,8.4,3.0,0.9,0.6,3.0,3.7,25.4,110.0,118.0,,mathube01,65,Bennedict Mathurin,22,IND,SF,61,46,1842,0,12,86,2,0,1.4,0.5,45,45,77,17,123,8,278,23,53,,mathube01,207,Bennedict Mathurin,IND,$7245720,$9187573,,,,,$16433293,mathube01,15,IND,E,C,40,29,0.58,1.16,116.18,114.94,1.24,0.56,116.09,115.45,0.64
115.0,Bobby Portis,29.0,MIL,PF,46.0,7.0,25.2,5.6,12.1,0.463,1.3,3.6,0.364,4.3,8.5,0.505,0.517,1.2,1.5,0.821,1.8,6.5,8.3,2.2,0.7,0.5,1.2,1.9,13.7,,portibo01,200.0,Bobby Portis,29.0,MIL,PF,46.0,7.0,1160.0,17.5,0.538,0.296,0.12,8.0,26.8,17.8,13.7,1.3,2.0,8.7,24.1,0.7,1.8,2.5,0.103,0.4,-0.4,0.0,0.6,,portibo01,200.0,Bobby Portis,29.0,MIL,PF,46.0,7.0,1160.0,10.7,23.1,0.463,2.5,6.8,0.364,8.2,16.3,0.505,0.517,2.3,2.8,0.821,3.4,12.4,15.9,4.2,1.3,1.0,2.3,3.6,26.2,110.0,110.0,,portibo01,200,Bobby Portis,29,MIL,PF,46,7,1160,0,0,0,82,18,2.0,0.5,22,14,52,8,31,2,258,9,29,,portibo01,133,Bobby Portis,MIL,$12578286,$13445754,,,,,$12578286,portibo01,11,MIL,E,C,39,30,0.565,2.33,114.81,112.48,2.33,1.99,114.94,112.93,2.0
451.0,Branden Carlson,25.0,OKC,C,20.0,0.0,6.1,1.0,2.2,0.442,0.7,1.7,0.412,0.3,0.5,0.556,0.605,0.2,0.2,1.0,0.3,1.2,1.5,0.4,0.1,0.4,0.2,0.7,2.8,,carlsbr01,454.0,Branden Carlson,25.0,OKC,C,20.0,0.0,121.0,16.4,0.626,0.791,0.093,4.5,20.8,12.8,7.6,0.8,6.6,6.3,16.7,0.2,0.2,0.5,0.189,1.1,1.1,2.2,0.1,,carlsbr01,454.0,Branden Carlson,25.0,OKC,C,20.0,0.0,121.0,7.6,17.1,0.442,5.6,13.5,0.412,2.0,3.6,0.556,0.605,1.6,1.6,1.0,2.0,9.5,11.5,2.8,0.8,3.2,1.2,5.2,22.3,127.0,106.0,,carlsbr01,454,Branden Carlson,25,OKC,C,20,0,121,0,0,0,0,100,8.3,-4.6,1,2,10,0,2,0,18,0,2,,carlsbr01,473,Branden Carlson,OKC,$496519,,,,,,$496519,carlsbr01,1,OKC,W,NW,57,12,0.826,12.74,119.87,107.2,12.67,12.71,119.77,107.13,12.64
