Player,ORtg,DRtg,NRtg,On-Off,WS,BPM,NRtg/A,PG%,SG%,SF%,PF%,C%,3PAr,FTr
A.J. Green,119.67,107.3,12.37,1.4,2.4,-2.3,12.42,19,81,1,0,0,0.858,0.067
AJ Johnson,119.67,107.3,12.37,10.6,0.0,-6.0,12.42,40,51,9,0,0,0.426,0.17
Aaron Gordon,119.67,107.3,12.37,8.7,3.2,1.0,12.42,0,0,0,92,8,0.34,0.34
Aaron Holiday,119.67,107.3,12.37,0.5,1.7,-0.5,12.42,100,0,0,0,0,0.655,0.182
Aaron Nesmith,119.67,107.3,12.37,11.5,1.8,-1.3,12.42,0,17,83,0,0,0.512,0.196
Aaron Wiggins,119.67,107.3,12.37,1.3,4.7,1.3,12.42,2,34,51,13,0,0.466,0.108
Adem Bona,119.67,107.3,12.37,4.6,1.4,-3.7,12.42,0,0,0,5,95,0.0,0.635
Ajay Mitchell,119.67,107.3,12.37,-4.0,1.5,-1.2,12.42,12,49,30,9,1,0.307,0.199
Al Horford,119.67,107.3,12.37,5.3,3.6,0.9,12.42,0,0,0,60,40,0.69,0.083
Alec Burks,119.67,107.3,12.37,8.5,1.3,-0.1,12.42,9,56,33,2,0,0.729,0.232
Alex Caruso,119.67,107.3,12.37,2.8,2.9,3.4,12.42,27,51,23,0,0,0.559,0.121
Alex Len,119.67,107.3,12.37,-18.4,0.7,-1.5,12.42,0,0,0,0,100,0.115,0.25
Alex Sarr,119.67,107.3,12.37,-3.8,0.4,-2.9,12.42,0,0,0,4,96,0.418,0.202
Alperen Şengün,119.67,107.3,12.37,6.8,7.3,4.7,12.42,0,0,0,3,97,0.085,0.372
Amen Thompson,119.67,107.3,12.37,0.6,6.7,3.4,12.42,0,16,55,29,0,0.13,0.381
Amir Coffey,119.67,107.3,12.37,-8.3,3.9,-1.9,12.42,0,16,63,21,1,0.483,0.239
Andre Drummond,119.67,107.3,12.37,-12.7,1.3,-3.1,12.42,0,0,0,0,100,0.085,0.385
Andre Jackson Jr.,119.67,107.3,12.37,-3.3,1.1,-3.5,12.42,0,69,26,5,0,0.402,0.098
Andrew Nembhard,119.67,107.3,12.37,7.1,2.2,-2.1,12.42,12,87,1,0,0,0.317,0.267
Andrew Wiggins,119.67,107.3,12.37,-8.7,3.4,0.5,12.42,0,9,65,26,0,0.419,0.308
Anfernee Simons,119.67,107.3,12.37,-2.1,4.0,0.3,12.42,52,43,5,0,0,0.528,0.174
Anthony Black,119.67,107.3,12.37,-3.1,1.7,-2.4,12.42,56,41,3,0,0,0.312,0.363
Anthony Davis,119.67,107.3,12.37,-1.2,6.6,6.3,12.42,0,0,0,5,95,0.124,0.421
Anthony Edwards,119.67,107.3,12.37,-0.3,6.8,4.1,12.42,1,63,34,2,0,0.493,0.311
