Player,Team,FG%,3P%,2P%,eFG%,TS%,PTS,AST,AST%,ORB,DRB,TRB,ORB%,DRB%,STL,BLK,STL%,BLK%,DBPM,TOV,TOV%,USG%,BPM,WS/48,VORP,PER
A.J. Green,MIL,0.425,0.417,0.471,0.603,0.613,7.4,1.4,8.2,0.2,2.0,2.2,1.1,9.3,0.6,0.1,1.2,0.4,-0.3,0.5,8.2,12.8,-2.3,0.082,-0.1,9.2
Aaron Holiday,HOU,0.432,0.389,0.513,0.559,0.587,5.4,1.3,13.7,0.2,1.1,1.3,1.7,9.1,0.3,0.1,1.2,0.9,0.3,0.6,11.5,16.5,-0.5,0.12,0.2,11.8
Aaron Nesmith,IND,0.5,0.414,0.59,0.606,0.639,11.2,1.4,7.8,0.7,3.0,3.7,3.3,13.5,0.7,0.4,1.3,1.4,-0.8,0.8,8.1,16.8,-1.3,0.111,0.1,13.7
Ajay Mitchell,OKC,0.506,0.431,0.539,0.572,0.604,6.4,1.7,13.1,0.5,1.5,2.0,3.3,9.3,0.7,0.1,2.1,0.5,1.0,0.8,13.4,15.8,-1.2,0.128,0.1,12.3
Alec Burks,MIA,0.407,0.419,0.375,0.559,0.587,6.4,1.1,9.2,0.4,2.3,2.7,2.3,14.4,0.6,0.2,1.7,0.9,0.6,0.4,7.6,14.7,-0.1,0.097,0.3,12.1
Amen Thompson,HOU,0.553,0.256,0.597,0.569,0.601,14.0,3.6,15.9,2.8,5.6,8.3,8.8,18.5,1.3,1.3,2.0,3.4,2.3,2.1,15.3,17.4,3.4,0.166,2.6,18.1
Amir Coffey,LAC,0.471,0.413,0.525,0.57,0.614,10.1,1.1,6.2,0.5,1.8,2.3,2.1,8.1,0.6,0.1,1.1,0.4,-0.4,0.6,7.1,15.1,-1.9,0.11,0.1,11.3
Andre Jackson Jr.,MIL,0.467,0.392,0.518,0.546,0.55,3.6,1.3,10.9,1.0,1.9,2.9,7.4,12.6,0.5,0.2,1.6,1.3,0.3,0.9,21.6,11.7,-3.5,0.06,-0.3,8.4
Anfernee Simons,POR,0.433,0.373,0.5,0.532,0.567,19.5,4.8,23.5,0.3,2.4,2.7,1.0,8.1,0.9,0.1,1.3,0.2,-1.6,2.1,10.8,24.7,0.3,0.091,1.2,15.4
Anthony Black,ORL,0.415,0.316,0.46,0.464,0.517,9.0,3.0,19.7,0.6,2.1,2.7,2.7,10.8,1.0,0.5,2.2,2.1,1.0,1.7,16.5,19.1,-2.4,0.054,-0.2,11.0
Antonio Reeves,NOP,0.415,0.358,0.482,0.512,0.532,4.3,0.7,9.7,0.4,0.7,1.1,4.3,7.2,0.3,0.1,1.6,0.6,-2.1,0.5,11.1,17.9,-3.7,0.006,-0.1,10.3
Ausar Thompson,DET,0.55,0.243,0.587,0.563,0.577,9.5,2.2,14.7,1.9,3.1,4.9,9.6,15.6,1.7,0.6,3.8,2.5,2.6,1.4,14.8,18.9,1.6,0.142,0.9,17.2
Austin Reaves,LAL,0.446,0.366,0.53,0.54,0.6,19.6,6.0,25.7,0.8,3.7,4.5,2.8,11.5,1.2,0.3,1.6,0.8,-0.4,2.4,13.0,23.8,1.7,0.137,2.0,17.7
Ayo Dosunmu,CHI,0.492,0.328,0.612,0.561,0.585,12.3,4.5,20.5,0.6,2.9,3.5,2.0,10.0,0.9,0.4,1.4,1.1,-0.4,1.5,12.5,16.6,-1.9,0.084,0.0,12.8
Ben Sheppard,IND,0.433,0.358,0.593,0.555,0.574,5.7,1.3,8.3,0.7,2.1,2.8,3.9,11.4,0.6,0.2,1.4,1.0,0.0,0.3,6.0,11.4,-2.0,0.083,0.0,9.5
Bennedict Mathurin,IND,0.465,0.363,0.518,0.527,0.582,16.0,1.9,8.6,1.2,4.1,5.2,4.4,15.1,0.6,0.4,0.9,1.1,-1.7,1.9,12.0,22.3,-3.0,0.06,-0.5,13.3
Bismack Biyombo,SAS,0.679,,0.679,0.679,0.654,5.2,1.2,9.1,1.4,3.5,4.9,8.3,21.1,0.7,0.8,1.9,4.1,0.2,0.9,19.1,11.8,-2.5,0.1,0.0,14.0
Bobby Portis,MIL,0.463,0.364,0.505,0.517,0.538,13.7,2.2,13.7,1.8,6.5,8.3,8.0,26.8,0.7,0.5,1.3,2.0,-0.4,1.2,8.7,24.1,0.0,0.103,0.6,17.5
Brandin Podziemski,GSW,0.431,0.327,0.527,0.51,0.533,10.3,3.4,19.0,1.0,3.9,4.9,4.2,16.6,1.1,0.2,2.0,0.9,1.0,1.1,10.2,17.7,0.2,0.107,0.7,13.7
Brandon Clarke,MEM,0.623,0.059,0.649,0.624,0.64,8.5,1.0,7.4,2.0,3.1,5.2,11.4,17.2,0.8,0.6,2.0,2.7,0.9,0.7,8.9,15.3,1.0,0.178,0.9,17.6
Brice Sensabaugh,UTA,0.455,0.402,0.536,0.576,0.599,10.0,1.4,11.4,0.6,2.2,2.7,3.3,12.3,0.6,0.1,1.5,0.4,-1.6,1.5,15.0,21.7,-1.9,0.033,0.0,12.6
