Player,2024-25,2025-26,Guaranteed
A.J. Green,$2120693,$2301587,$2120693
AJ Johnson,$2795294,$3090480,$5885774
Aaron Gordon,$22841455,$22841455,$112197227
Aaron Holiday,$4668000,$4901400,$4668000
Aaron Nesmith,$11000000,$11000000,$33000000
Aaron Wiggins,$10514017,$9672897,$45000000
Adem Bona,$1157153,$1955377,$1157153
Ajay Mitchell,$3000000,$3000000,$3000000
Al Horford,$9500000,,$9500000
Alec Burks,$2087519,,$2087519
Alex Caruso,$9890000,$18102000,$90986960
Alex Len,$2831348,,$2087519
Alex Sarr,$11245680,$11808240,$23053920
Alperen Şengün,$5424654,$33944954,$151387957
Amen Thompson,$9249960,$9690600,$18940560
Amir Coffey,$3938271,,$3938271
Andre Drummond,$5000000,$5000000,$5000000
Andre Jackson Jr.,$1891857,$2221677,$1891857
Andrew Nembhard,$2019699,$18102000,$60670179
Andrew Wiggins,$26276786,$28223215,$54500001
Anfernee Simons,$25892857,$27678571,$53571428
Anthony Black,$7607760,$7970280,$15578040
Anthony Davis,$43219440,$54126450,$155802456
Anthony Edwards,$42176400,$45550512,$244623120
Anthony Gill,$2237691,$2546675,$2237691
Antonio Reeves,$1157153,$1955377,$1157153
Ariel Hukporti,$1064049,$1955377,$1064049
Ausar Thompson,$8376000,$8775000,$17151000
Austin Reaves,$12976362,$13937574,$26913936
Ayo Dosunmu,$7000000,$7518518,$14518518
Bam Adebayo,$34848340,$37096620,$173269456
Baylor Scheierman,$2494320,$2619000,$10191353
Ben Sheppard,$2663880,$2790720,$5454600
Ben Simmons,$40011909,,$39256083
Bennedict Mathurin,$7245720,$9187573,$16433293
Bilal Coulibaly,$6945240,$7275600,$14220840
Bismack Biyombo,$143967,,$287934
Blake Wesley,$2624280,$4726328,$7350608
Bobby Portis,$12578286,$13445754,$12578286
Bobi Klintman,$1257153,$1955377,$3212530
Bogdan Bogdanović,$17260000,$16020000,$33280000
Bol Bol,$2087519,,$2087519
Bones Hyland,$4158439,,$4158439
Bradley Beal,$50203930,$53666270,$103870200
Branden Carlson,$496519,,$496519
Brandin Podziemski,$3519960,$3687960,$7207920
Brandon Clarke,$12500000,$12500000,$37500000
Brandon Ingram,$36016200,$38095238,$114111438
Brandon Miller,$11424600,$11968800,$23393400
Brice Sensabaugh,$2571480,$2693760,$5265240
Bronny James,$1157153,$1955377,$3112530
Brook Lopez,$23000000,,$23000000
Bruce Brown,$23000000,,$23000000
Bruno Fernando,$1115128,,$1115128
Bub Carrington,$4454880,$4677600,$9132480
Buddy Hield,$8780488,$9219512,$27658536
CJ McCollum,$33333333,$30666666,$63999999
Cade Cunningham,$13940809,$38661750,$238178959
Caleb Houstan,$2019699,$2187699,$2019699
Caleb Martin,$9186594,$9594044,$28782131
Cam Christie,$1157153,$1955377,$3112530
Cam Reddish,$2463946,,$2463946
Cam Thomas,$4041249,,$4041249
Cam Whitmore,$3379080,$3539760,$6918840
Cameron Johnson,$22500000,$20543478,$65543478
Cameron Payne,$2087519,,$2087519
Caris LeVert,$16615384,,$16615384
