Player,BadPass,LostBall,OnCourt,On-Off,DWS,OWS
A.J. Green,15,8,2.6,1.4,1.1,1.2
Aaron Holiday,17,9,4.7,0.5,0.7,0.9
Ajay Mitchell,16,8,9.4,-4.0,0.8,0.7
Alec Burks,11,1,5.2,8.5,0.7,0.6
Amir Coffey,18,14,-1.1,-8.3,1.5,2.4
Ariel Hukporti,12,5,-13.4,-19.3,0.2,-0.2
Ben Simmons,57,15,-2.4,3.5,1.1,0.7
Bennedict Mathurin,45,45,1.4,0.5,1.2,1.1
Bobby Portis,22,14,2.0,0.5,1.8,0.7
Branden Carlson,1,2,8.3,-4.6,0.2,0.2
Caleb Houstan,2,2,-10.8,-10.5,0.5,0.4
Cameron Payne,19,13,9.7,7.0,0.8,1.2
Chet Holmgren,6,27,15.7,3.6,1.5,0.8
Christian Braun,33,15,8.4,11.9,1.6,5.1
Clint Capela,17,9,-3.1,-1.4,1.5,1.7
Cory Joseph,7,4,-2.8,-1.0,0.5,0.1
D'Angelo Russell,61,22,0.0,2.0,1.2,0.9
Daishen Nix,1,2,28.2,24.0,0.0,-0.1
Daniel Gafford,15,20,1.8,3.4,1.4,3.9
Dante Exum,13,2,-7.9,-8.4,0.2,0.5
Dario Šarić,9,3,-10.0,-15.4,0.2,-0.2
David Roddy,11,8,-7.6,-6.0,0.4,0.2
De'Anthony Melton,2,3,14.4,12.0,0.2,0.0
Dean Wade,6,6,13.1,3.2,1.5,1.0
Doug McDermott,3,1,2.7,1.8,0.1,0.2
Duncan Robinson,46,17,0.4,4.0,1.1,1.1
Dwight Powell,5,3,-3.1,-3.0,0.4,1.0
Dyson Daniels,72,35,-1.6,1.5,3.1,0.9
Fred VanVleet,46,17,5.9,3.3,2.5,2.1
Gabe Vincent,23,3,0.8,-2.4,0.9,0.1
Garrison Mathews,15,6,-4.0,-2.4,0.5,1.0
Gary Harris,5,2,1.8,4.4,0.7,0.0
Gary Payton II,15,4,7.9,6.7,1.3,1.5
Gary Trent Jr.,10,16,0.0,-3.3,1.4,1.1
Gui Santos,24,7,10.9,9.8,0.7,0.7
Haywood Highsmith,16,13,-0.1,2.8,1.6,0.9
Isaiah Jackson,2,0,6.2,5.2,0.1,0.1
Jabari Smith Jr.,23,20,5.5,2.2,1.9,1.6
Jaden Ivey,42,28,-3.9,-8.6,0.9,0.3
Jae Crowder,4,0,-6.3,-7.6,0.1,0.0
Jae'Sean Tate,6,5,5.4,1.3,0.8,0.7
Jahlil Okafor,0,0,80.4,79.2,0.0,0.0
Jalen Duren,59,28,1.8,-1.4,3.0,4.7
Jalen Williams,61,57,10.1,-6.9,3.8,3.1
Jaren Jackson Jr.,37,52,8.6,6.1,2.7,3.2
Javonte Green,14,8,-9.4,-1.9,0.7,1.0
Jaxson Hayes,14,4,7.8,7.4,1.2,1.9
Jaylin Williams,13,5,16.2,4.2,1.3,0.8
Jonathan Kuminga,26,19,0.5,-3.2,1.1,0.4
Josh Minott,6,2,-6.4,-11.6,0.4,0.1
Julius Randle,64,53,3.9,-0.9,2.1,2.9
Keegan Murray,18,22,1.8,2.4,1.7,1.9
Keon Ellis,31,12,4.4,6.2,1.7,2.2
Keshad Johnson,1,2,1.8,3.5,0.1,0.0
Kevon Looney,12,9,4.0,1.6,1.8,1.8
Kristaps Porziņģis,13,10,3.4,-7.0,1.7,2.5
Kyrie Irving,65,32,2.2,5.7,1.2,3.6
Landry Shamet,9,3,6.8,2.6,0.3,0.1
Larry Nance Jr.,12,0,-8.9,-7.9,0.5,0.8
Luka Garza,2,2,0.3,-4.3,0.2,0.3
Luke Kennard,40,16,5.1,-1.1,1.0,2.5
Luke Kornet,11,6,11.6,4.8,1.7,3.6
Malevy Leons,0,1,-42.3,-55.4,0.0,0.0
Malik Beasley,40,25,3.1,1.4,1.8,2.4
Markelle Fultz,8,1,6.3,5.4,0.1,-0.3
Matt Ryan,2,1,-26.9,-32.2,0.1,-0.1
Mitchell Robinson,3,1,15.7,11.6,0.2,0.3
Moritz Wagner,12,17,-3.0,-1.3,1.0,1.0
Moses Brown,5,0,-3.2,-3.5,0.2,0.2
Myles Turner,35,29,3.3,4.7,2.1,1.3
Naz Reid,41,31,6.9,6.0,2.9,2.1
Nickeil Alexander-Walker,62,16,6.2,3.9,1.9,1.5
Nikola Jović,29,14,-1.3,0.5,1.2,1.2
Norman Powell,38,36,6.1,6.1,1.8,2.7
Orlando Robinson,9,14,-7.3,-3.4,0.5,0.2
Ousmane Dieng,10,4,6.0,-7.7,0.7,0.2
P.J. Washington,29,46,3.3,7.0,1.8,0.3
PJ Dozier,1,0,-2.4,-6.9,0.0,0.0
Paolo Banchero,50,40,-4.5,-4.0,1.8,0.7
Pat Connaughton,15,4,-2.1,-4.5,0.4,0.3
Paul Reed,8,6,8.5,6.8,0.9,0.7
Peyton Watson,20,17,1.8,-4.3,1.3,0.9
Precious Achiuwa,10,11,-0.8,-7.6,1.3,0.9
Quinten Post,12,5,2.4,-0.6,0.7,0.7
Rui Hachimura,19,17,4.7,5.0,1.4,2.3
Ryan Rollins,24,8,7.2,6.4,0.7,0.1
Sam Merrill,15,3,12.9,3.1,1.2,1.5
Santi Aldama,32,14,8.4,4.3,1.7,2.7
Simone Fontecchio,23,18,-0.5,-4.4,1.1,0.4
Spencer Dinwiddie,52,11,-3.3,-6.1,0.9,1.9
Steven Adams,22,12,6.0,2.0,1.0,0.6
Tari Eason,20,12,7.5,4.9,2.5,1.9
Taurean Prince,39,19,-0.4,-4.8,1.9,1.0
Terry Rozier,43,17,-4.4,-5.3,1.3,-0.5
Tim Hardaway Jr.,23,12,0.7,-3.8,1.4,1.4
Tobias Harris,26,24,5.5,8.1,2.7,2.1
Torrey Craig,1,1,-7.5,-9.7,0.2,0.5
Trey Lyles,16,9,-2.7,-5.4,1.0,0.8
Tristan Thompson,2,4,-11.0,-23.6,0.4,-0.1
Ty Jerome,35,32,11.0,0.3,1.7,3.4
Vlatko Čančar,3,1,-0.4,-4.9,0.0,-0.1
Wendell Moore Jr.,9,7,-8.8,-7.1,0.4,0.3
Xavier Tillman Sr.,2,7,-1.2,-10.1,0.3,-0.5
