Player,ORtg,DRtg,NRtg,On-Off,WS,BPM,NRtg/A,PG%,SG%,SF%,PF%,C%,3PAr,FTr
A.J. Green,119.67,107.3,12.37,1.4,2.4,-2.3,12.42,19,81,1,0,0,0.858,0.067
Aaron Holiday,119.67,107.3,12.37,0.5,1.7,-0.5,12.42,100,0,0,0,0,0.655,0.182
Ajay Mitchell,119.67,107.3,12.37,-4.0,1.5,-1.2,12.42,12,49,30,9,1,0.307,0.199
Alec Burks,119.67,107.3,12.37,8.5,1.3,-0.1,12.42,9,56,33,2,0,0.729,0.232
Amir Coffey,119.67,107.3,12.37,-8.3,3.9,-1.9,12.42,0,16,63,21,1,0.483,0.239
Andre Drummond,119.67,107.3,12.37,-12.7,1.3,-3.1,12.42,0,0,0,0,100,0.085,0.385
Anfernee Simons,119.67,107.3,12.37,-2.1,4.0,0.3,12.42,52,43,5,0,0,0.528,0.174
Anthony Gill,119.67,107.3,12.37,6.0,0.3,-4.0,12.42,0,0,2,92,6,0.352,0.611
Ariel Hukporti,119.67,107.3,12.37,-19.3,0.1,-5.6,12.42,0,0,0,8,92,0.0,0.419
Ayo Dosunmu,119.67,107.3,12.37,-7.4,2.5,-1.9,12.42,10,56,30,4,0,0.421,0.176
Bennedict Mathurin,119.67,107.3,12.37,0.5,2.3,-3.0,12.42,0,12,86,2,0,0.341,0.344
Bismack Biyombo,119.67,107.3,12.37,-10.5,0.6,-2.5,12.42,0,0,0,0,100,0.0,0.304
Blake Wesley,119.67,107.3,12.37,10.5,0.1,-4.0,12.42,21,64,14,2,0,0.291,0.3
Bobby Portis,119.67,107.3,12.37,0.5,2.5,0.0,12.42,0,0,0,82,18,0.296,0.12
Bol Bol,119.67,107.3,12.37,-3.4,0.9,0.3,12.42,0,0,0,67,33,0.503,0.149
Branden Carlson,119.67,107.3,12.37,-4.6,0.5,2.2,12.42,0,0,0,0,100,0.791,0.093
Bruno Fernando,119.67,107.3,12.37,-2.1,0.2,-0.7,12.42,0,0,0,0,100,0.0,0.163
CJ McCollum,119.67,107.3,12.37,2.4,1.5,-1.3,12.42,81,19,0,0,0,0.459,0.175
Caleb Houstan,119.67,107.3,12.37,-10.5,0.9,-4.0,12.42,1,16,72,11,1,0.859,0.109
Cam Thomas,119.67,107.3,12.37,-0.8,1.2,0.2,12.42,12,63,25,0,0,0.43,0.333
Cameron Payne,119.67,107.3,12.37,7.0,2.0,0.3,12.42,80,20,0,0,0,0.584,0.127
Charles Bassey,119.67,107.3,12.37,-13.5,1.1,-0.7,12.42,0,0,0,2,98,0.0,0.284
Chet Holmgren,119.67,107.3,12.37,3.6,2.3,3.5,12.42,0,0,0,30,70,0.346,0.397
Chris Boucher,119.67,107.3,12.37,6.0,2.6,2.2,12.42,0,0,3,91,7,0.522,0.235
Chris Duarte,119.67,107.3,12.37,8.5,0.3,1.0,12.42,13,83,5,0,0,0.577,0.308
Christian Braun,119.67,107.3,12.37,11.9,6.7,0.2,12.42,3,68,29,0,0,0.27,0.266
Chuma Okeke,119.67,107.3,12.37,-1.5,0.1,-1.2,12.42,0,0,3,62,35,0.667,0.0
Clint Capela,119.67,107.3,12.37,-1.4,3.2,-1.2,12.42,0,0,0,0,100,0.003,0.249
Coby White,119.67,107.3,12.37,-5.3,2.8,-1.7,12.42,29,57,14,0,0,0.545,0.238
Collin Sexton,119.67,107.3,12.37,6.3,2.0,-0.9,12.42,21,76,3,0,0,0.322,0.289
Cory Joseph,119.67,107.3,12.37,-1.0,0.6,-2.1,12.42,77,23,0,0,0,0.659,0.099
Daishen Nix,119.67,107.3,12.37,24.0,-0.1,-16.3,12.42,100,0,0,0,0,1.0,2.0
Dalano Banton,119.67,107.3,12.37,3.2,0.9,0.4,12.42,66,34,0,0,0,0.438,0.261
Dalen Terry,119.67,107.3,12.37,-10.6,0.9,-3.7,12.42,1,29,64,6,0,0.37,0.305
Damion Lee,119.67,107.3,12.37,7.4,-0.1,-5.8,12.42,0,54,40,6,0,0.5,0.315
Daniel Gafford,119.67,107.3,12.37,3.4,5.4,3.7,12.42,0,0,0,1,99,0.0,0.478
Dante Exum,119.67,107.3,12.37,-8.4,0.7,-2.0,12.42,91,9,0,0,0,0.376,0.248
Dario Šarić,119.67,107.3,12.37,-15.4,0.0,-4.9,12.42,0,0,0,4,96,0.464,0.179
Day'Ron Sharpe,119.67,107.3,12.37,10.9,2.6,0.7,12.42,0,0,0,0,100,0.134,0.248
De'Anthony Melton,119.67,107.3,12.37,12.0,0.2,-0.8,12.42,52,38,10,0,0,0.648,0.148
Dean Wade,119.67,107.3,12.37,3.2,2.5,0.5,12.42,0,0,22,66,12,0.819,0.113
Deandre Ayton,119.67,107.3,12.37,-4.5,2.8,-0.8,12.42,0,0,0,0,100,0.068,0.128
Doug McDermott,119.67,107.3,12.37,1.8,0.3,-4.5,12.42,0,3,55,41,1,0.857,0.055
Duncan Robinson,119.67,107.3,12.37,4.0,2.1,-2.0,12.42,1,32,56,11,0,0.729,0.081
Duop Reath,119.67,107.3,12.37,-2.6,0.6,-0.3,12.42,0,0,0,1,99,0.701,0.154
Dwight Powell,119.67,107.3,12.37,-3.0,1.4,0.4,12.42,0,0,0,1,100,0.043,0.804
Dyson Daniels,119.67,107.3,12.37,1.5,4.0,1.2,12.42,0,53,43,4,0,0.252,0.161
Fred VanVleet,119.67,107.3,12.37,3.3,4.6,1.3,12.42,92,9,0,0,0,0.603,0.166
Gabe Vincent,119.67,107.3,12.37,-2.4,1.0,-4.2,12.42,79,21,0,0,0,0.707,0.049
Garrison Mathews,119.67,107.3,12.37,-2.4,1.5,-1.4,12.42,6,73,21,0,0,0.849,0.314
Gary Harris,119.67,107.3,12.37,4.4,0.7,-2.7,12.42,9,65,24,2,0,0.76,0.1
Gary Payton II,119.67,107.3,12.37,6.7,2.8,1.5,12.42,23,73,4,0,0,0.325,0.142
Gary Trent Jr.,119.67,107.3,12.37,-3.3,2.6,-1.8,12.42,3,53,44,1,0,0.643,0.118
Guerschon Yabusele,119.67,107.3,12.37,5.2,3.4,-1.2,12.42,0,0,0,26,74,0.491,0.242
Gui Santos,119.67,107.3,12.37,9.8,1.4,-1.7,12.42,0,1,9,79,11,0.566,0.238
Harrison Barnes,119.67,107.3,12.37,0.0,4.3,-0.5,12.42,0,0,27,71,2,0.504,0.303
Haywood Highsmith,119.67,107.3,12.37,2.8,2.5,-2.1,12.42,0,1,53,46,0,0.584,0.118
Isaiah Jackson,119.67,107.3,12.37,5.2,0.3,0.6,12.42,0,0,0,0,100,0.0,0.609
Jabari Smith Jr.,119.67,107.3,12.37,2.2,3.4,-1.0,12.42,0,0,2,85,13,0.493,0.227
Jabari Walker,119.67,107.3,12.37,4.2,1.6,-0.6,12.42,0,0,19,66,15,0.341,0.295
Jaden Ivey,119.67,107.3,12.37,-8.6,1.3,-0.1,12.42,7,76,18,0,0,0.373,0.281
Jae Crowder,119.67,107.3,12.37,-7.6,0.1,-4.4,12.42,0,0,75,25,0,0.706,0.353
Jae'Sean Tate,119.67,107.3,12.37,1.3,1.4,-1.1,12.42,3,43,51,3,0,0.281,0.333
Jahlil Okafor,119.67,107.3,12.37,79.2,0.0,7.5,12.42,0,0,0,0,100,,
Jalen Duren,119.67,107.3,12.37,-1.4,7.7,2.9,12.42,0,0,0,0,100,0.0,0.423
Jalen McDaniels,119.67,107.3,12.37,26.7,0.0,5.4,12.42,0,0,60,33,7,,
Jalen Williams,119.67,107.3,12.37,-6.9,6.9,4.0,12.42,0,8,57,34,1,0.298,0.246
Jalen Wilson,119.67,107.3,12.37,-0.5,1.4,-4.4,12.42,0,2,29,55,14,0.571,0.261
Jaren Jackson Jr.,119.67,107.3,12.37,6.1,6.0,3.1,12.42,0,0,0,45,55,0.312,0.347
Jaxson Hayes,119.67,107.3,12.37,7.4,3.0,0.4,12.42,0,0,0,1,99,0.012,0.463
Jaylen Nowell,119.67,107.3,12.37,-4.1,-0.2,-5.8,12.42,95,6,0,0,0,0.37,0.151
Jaylin Williams,119.67,107.3,12.37,4.2,2.2,2.9,12.42,0,0,1,24,76,0.711,0.11
Jeremiah Robinson-Earl,119.67,107.3,12.37,-5.1,1.5,-2.4,12.42,0,0,1,77,22,0.466,0.177
Jeremy Sochan,119.67,107.3,12.37,0.3,2.6,-0.5,12.42,0,0,0,65,35,0.191,0.266
Jevon Carter,119.67,107.3,12.37,3.0,0.3,-1.2,12.42,92,8,0,0,0,0.722,0.103
John Collins,119.67,107.3,12.37,11.4,2.7,1.1,12.42,0,0,43,55,3,0.279,0.309
Jonathan Kuminga,119.67,107.3,12.37,-3.2,1.6,-0.1,12.42,0,0,9,57,34,0.262,0.422
Jordan Clarkson,119.67,107.3,12.37,-4.9,0.8,-1.0,12.42,3,78,19,0,0,0.469,0.291
Josh Giddey,119.67,107.3,12.37,0.8,3.9,2.2,12.42,66,33,1,0,0,0.36,0.252
Josh Minott,119.67,107.3,12.37,-11.6,0.5,0.1,12.42,0,6,60,34,0,0.449,0.167
Julius Randle,119.67,107.3,12.37,-0.9,5.0,1.0,12.42,0,0,0,94,6,0.326,0.385
Justin Edwards,119.67,107.3,12.37,-8.1,0.8,-3.8,12.42,0,40,49,11,0,0.55,0.108
Keegan Murray,119.67,107.3,12.37,2.4,3.6,-2.1,12.42,0,0,11,89,1,0.537,0.095
Kelly Oubre Jr.,119.67,107.3,12.37,-1.4,2.8,-2.2,12.42,0,8,52,40,0,0.327,0.25
Keon Ellis,119.67,107.3,12.37,6.2,3.9,1.9,12.42,18,70,12,0,0,0.683,0.183
Keon Johnson,119.67,107.3,12.37,-5.9,0.4,-3.5,12.42,30,69,2,0,0,0.511,0.165
Keshad Johnson,119.67,107.3,12.37,3.5,0.1,-3.4,12.42,0,0,32,64,4,0.333,0.5
Kevon Looney,119.67,107.3,12.37,1.6,3.6,0.1,12.42,0,0,0,0,100,0.012,0.341
