Player,Team,ORtg,DRtg,NRtg,On-Off,WS,BPM,NRtg/A,2024-25_Payroll,2025-26_Payroll,2026-27_Payroll,2027-28_Payroll,2028-29_Payroll,2029-30_Payroll,Luxury_Tax,Penalty,"""PG%""","""SG%""","""SF%""","""PF%""","""C%""",3PAr,FTr
A.J. Green,MIL,114.97,112.57,2.39,1.4,2.4,-2.3,2.09,182600201,164780121,144366965,65273677,0,0,181791983,29378941,PG%,SG%,SF%,PF%,C%,0.858,0.067
Aaron Holiday,HOU,114.51,110.12,4.4,0.5,1.7,-0.5,4.78,167805430,188050805,128460728,87381075,39036697,39036697,168257518,0,PG%,SG%,SF%,PF%,C%,0.655,0.182
Aaron Nesmith,IND,116.06,114.77,1.3,11.5,1.8,-1.3,0.64,168569767,165002214,170205890,155907787,67472848,0,168677890,0,PG%,SG%,SF%,PF%,C%,0.512,0.196
Ajay Mitchell,OKC,120.27,107.26,13.01,-4.0,1.5,-1.2,12.87,164952350,177782645,149631320,52994837,30437135,0,165601181,0,PG%,SG%,SF%,PF%,C%,0.307,0.199
Alec Burks,MIA,111.86,113.72,-1.85,8.5,1.3,-0.1,-1.81,173088172,178497509,134432212,59746788,56507892,0,173599367,4178050,PG%,SG%,SF%,PF%,C%,0.729,0.232
Amen Thompson,HOU,114.51,110.12,4.4,0.6,6.7,3.4,4.78,167805430,188050805,128460728,87381075,39036697,39036697,168257518,0,PG%,SG%,SF%,PF%,C%,0.13,0.381
Amir Coffey,LAC,114.07,110.6,3.47,-8.3,3.9,-1.9,3.57,169670454,170638969,109119480,23485315,0,0,170720454,0,PG%,SG%,SF%,PF%,C%,0.483,0.239
Andre Jackson Jr.,MIL,114.97,112.57,2.39,-3.3,1.1,-3.5,2.09,182600201,164780121,144366965,65273677,0,0,181791983,29378941,PG%,SG%,SF%,PF%,C%,0.402,0.098
Anfernee Simons,POR,112.15,114.94,-2.79,-2.1,4.0,0.3,-2.47,167086613,170831585,76426582,58107120,268032,0,167158526,0,PG%,SG%,SF%,PF%,C%,0.528,0.174
Anthony Black,ORL,108.56,109.9,-1.33,-3.1,1.7,-2.4,-1.82,150359238,199367531,170522341,114636256,110738890,77733510,150359238,0,PG%,SG%,SF%,PF%,C%,0.312,0.363
Antonio Reeves,NOP,110.67,119.9,-9.23,-0.5,0.0,-3.7,-8.33,170268065,170557669,137289565,111102263,31000000,0,170517912,0,PG%,SG%,SF%,PF%,C%,0.545,0.106
Ausar Thompson,DET,114.34,112.16,2.18,4.4,3.0,1.6,1.58,141808220,127468272,84437469,73825808,47940570,51033510,141765840,0,PG%,SG%,SF%,PF%,C%,0.109,0.309
Austin Reaves,LAL,115.06,114.15,0.92,6.4,5.9,1.7,0.84,188022153,189239092,86079494,22225569,0,0,188037153,52526400,PG%,SG%,SF%,PF%,C%,0.51,0.352
Ayo Dosunmu,CHI,113.62,116.16,-2.54,-7.4,2.5,-1.9,-2.71,165919354,134846334,45550136,25584283,18000000,0,165919354,0,PG%,SG%,SF%,PF%,C%,0.421,0.176
Ben Sheppard,IND,116.06,114.77,1.3,-4.1,1.8,-2.0,0.64,168569767,165002214,170205890,155907787,67472848,0,168677890,0,PG%,SG%,SF%,PF%,C%,0.681,0.091
Bennedict Mathurin,IND,116.06,114.77,1.3,0.5,2.3,-3.0,0.64,168569767,165002214,170205890,155907787,67472848,0,168677890,0,PG%,SG%,SF%,PF%,C%,0.341,0.344
Bismack Biyombo,SAS,114.94,116.96,-2.02,-10.5,0.6,-2.5,-2.02,161683617,145818612,74384166,37322313,27000000,0,162178506,0,PG%,SG%,SF%,PF%,C%,0.0,0.304
Bobby Portis,MIL,114.97,112.57,2.39,0.5,2.5,0.0,2.09,182600201,164780121,144366965,65273677,0,0,181791983,29378941,PG%,SG%,SF%,PF%,C%,0.296,0.12
Brandin Podziemski,GSW,114.39,111.95,2.44,6.3,2.9,0.2,2.8,175759694,170506402,177342702,23523485,0,0,17611497,14651117,PG%,SG%,SF%,PF%,C%,0.481,0.166
Brandon Clarke,MEM,117.9,112.92,4.98,4.6,4.5,1.0,4.74,163241293,135858159,119396044,103402672,44886930,0,163865149,0,PG%,SG%,SF%,PF%,C%,0.045,0.23
Brice Sensabaugh,UTA,111.76,119.31,-7.54,-5.6,0.8,-1.9,-7.1,153559613,150334750,83682776,72297734,53536209,0,164314022,0,PG%,SG%,SF%,PF%,C%,0.601,0.118
CJ McCollum,NOP,110.67,119.9,-9.23,2.4,1.5,-1.3,-8.33,170268065,170557669,137289565,111102263,31000000,0,170517912,0,PG%,SG%,SF%,PF%,C%,0.459,0.175
