Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Mikal Bridges,28,NYK,SF,67,67,2531,9.5,19.1,.499,2.8,7.8,.355,6.7,11.3,.599,.572,1.3,1.7,.779,1.1,3.0,4.2,4.5,1.2,0.7,2.0,1.9,23.1,116,118,,bridgmi01
2,Anthony Edwards,23,MIN,SG,67,67,2442,12.3,27.7,.444,5.5,13.7,.400,6.8,14.0,.487,.543,7.2,8.6,.838,1.0,6.9,7.9,6.2,1.5,0.8,4.4,2.5,37.3,114,112,,edwaran01
3,Josh Hart,29,NYK,SG,64,64,2417,7.1,13.3,.534,1.5,4.3,.335,5.7,9.0,.630,.588,2.9,3.6,.792,2.8,10.0,12.8,7.5,1.9,0.5,2.7,3.3,18.6,126,112,,hartjo01
4,Devin Booker,28,PHO,SG,63,63,2357,11.2,24.6,.457,3.5,10.0,.347,7.8,14.6,.532,.527,7.9,8.9,.894,1.3,4.1,5.4,9.2,1.3,0.3,3.7,3.6,33.9,120,121,,bookede01
5,James Harden,35,LAC,PG,66,66,2316,9.1,23.1,.396,4.2,12.2,.343,4.9,10.9,.455,.486,9.1,10.4,.873,1.0,7.3,8.2,12.2,2.1,0.9,6.2,2.9,31.5,111,110,,hardeja01
6,Trae Young,26,ATL,PG,64,64,2311,9.6,23.5,.406,3.6,10.9,.328,6.0,12.6,.474,.482,8.4,9.6,.873,0.6,3.5,4.1,14.7,1.5,0.2,6.2,2.6,31.1,112,119,,youngtr01
7,Jalen Green,22,HOU,SG,69,69,2307,11.0,25.9,.425,4.3,12.2,.357,6.7,13.7,.485,.509,4.7,5.7,.830,0.8,5.9,6.7,5.0,1.3,0.5,3.7,2.3,31.1,110,113,,greenja05
8,Jayson Tatum,26,BOS,PF,63,63,2307,12.6,27.7,.454,4.9,13.9,.352,7.7,13.8,.557,.543,6.9,8.5,.812,0.9,11.0,11.9,8.0,1.5,0.7,4.0,3.0,37.0,117,110,,tatumja01
9,Tyler Herro,25,MIA,SG,65,65,2306,11.7,25.4,.460,4.8,13.0,.367,6.9,12.4,.559,.554,4.9,5.7,.860,0.6,6.9,7.4,8.0,1.2,0.3,3.6,1.7,33.1,114,115,,herroty01
10,Bam Adebayo,27,MIA,C,66,66,2272,9.7,20.0,.486,1.2,3.8,.310,8.6,16.2,.528,.516,4.6,6.0,.760,3.6,10.7,14.3,6.2,1.8,1.0,3.1,3.1,25.3,114,111,,adebaba01
11,Jaden McDaniels,24,MIN,PF,70,70,2271,7.6,15.8,.482,2.0,6.0,.338,5.6,9.9,.569,.546,2.0,2.4,.830,2.5,6.7,9.2,3.1,2.2,1.3,1.7,4.3,19.3,117,110,,mcdanja02
