Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,-9999
1,Mikal Bridges,28,NYK,SF,67,67,2531,0,2,82,17,0,5.4,3.5,60,36,43,5,41,10,566,11,21,,bridgmi01
2,Anthony Edwards,23,MIN,SG,67,67,2442,1,63,34,2,0,4.2,-0.3,103,87,55,10,201,2,766,52,50,,edwaran01
3,Josh Hart,29,NYK,SG,64,64,2417,0,66,32,3,0,4.4,-1.0,82,30,88,4,87,11,887,23,51,,hartjo01
4,Devin Booker,28,PHO,SG,63,63,2357,0,45,50,5,0,-1.6,-1.5,99,49,70,14,170,23,1118,32,53,,bookede01
5,James Harden,35,LAC,PG,66,66,2316,49,51,0,0,0,4.1,3.8,167,88,55,27,199,9,1316,34,58,,hardeja01
6,Trae Young,26,ATL,PG,64,64,2311,100,0,0,0,0,0.4,8.3,232,54,61,8,154,25,1688,29,55,,youngtr01
7,Jalen Green,22,HOU,SG,69,69,2307,28,71,2,0,0,2.0,-7.3,83,72,50,9,121,3,567,22,92,,greenja05
8,Jayson Tatum,26,BOS,PF,63,63,2307,0,9,44,47,0,8.7,1.3,91,61,50,24,158,6,963,32,50,,tatumja01
9,Tyler Herro,25,MIA,SG,65,65,2306,38,59,3,0,0,-1.8,-0.4,86,63,36,6,111,3,905,29,67,,herroty01
10,Bam Adebayo,27,MIA,C,66,66,2272,0,0,0,16,84,-2.1,-1.3,64,42,72,20,127,4,712,26,39,,adebaba01
11,Jaden McDaniels,24,MIN,PF,70,70,2271,0,0,76,23,1,3.6,-2.1,33,25,91,7,53,21,357,16,34,,mcdanja02
12,Shai Gilgeous-Alexander,26,OKC,PG,66,66,2268,100,0,0,0,0,16.8,13.3,83,55,90,11,246,8,1041,57,58,,gilgesh01
13,Nikola Jokić,29,DEN,C,62,62,2263,0,0,0,0,100,9.8,17.2,123,55,67,15,148,4,1494,47,55,,jokicni01
14,Cade Cunningham,23,DET,PG,64,64,2247,88,12,0,0,0,3.9,4.4,164,97,80,13,151,5,1402,35,88,,cunnica01
15,Christian Braun,23,DEN,SG,67,65,2243,3,68,29,0,0,8.4,11.9,33,15,76,10,97,2,381,22,56,,braunch01
16,De'Aaron Fox,27,2TM,PG,62,62,2241,80,20,0,0,0,-1.3,-1.7,82,73,63,8,153,26,945,27,56,,foxde01
