Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Oklahoma City Thunder,W,NW,56,12,.824,12.44,119.67,107.30,12.37,12.49,119.61,107.19,12.42
2,Cleveland Cavaliers,E,C,56,12,.824,10.65,122.38,111.76,10.62,9.76,122.40,112.66,9.74
3,Boston Celtics,E,A,50,19,.725,8.43,120.33,111.51,8.82,8.00,120.28,111.91,8.37
4,Memphis Grizzlies,W,SW,43,26,.623,5.87,118.28,112.63,5.66,5.57,118.02,112.67,5.35
5,Minnesota Timberwolves,W,NW,40,30,.571,4.11,115.75,111.51,4.25,4.73,115.98,111.11,4.87
6,Houston Rockets,W,SW,44,25,.638,4.54,114.50,110.16,4.34,4.95,114.60,109.84,4.76
7,Denver Nuggets,W,NW,44,25,.638,4.42,120.14,115.85,4.29,4.37,120.15,115.91,4.24
8,New York Knicks,E,A,43,24,.642,4.55,118.89,114.33,4.56,3.98,118.94,114.94,4.00
9,Los Angeles Clippers,W,P,39,30,.565,3.14,113.87,110.64,3.23,3.17,113.60,110.35,3.25
10,Golden State Warriors,W,P,40,29,.580,2.58,114.36,111.76,2.61,3.04,114.49,111.44,3.06
11,Detroit Pistons,E,C,38,31,.551,2.30,114.27,111.98,2.29,1.67,114.02,112.35,1.67
12,Milwaukee Bucks,E,C,38,30,.559,1.94,114.68,112.77,1.92,1.58,114.79,113.22,1.57
13,Los Angeles Lakers,W,P,42,25,.627,1.64,115.37,113.69,1.68,1.50,115.03,113.49,1.54
14,Sacramento Kings,W,P,34,33,.507,0.91,116.66,115.71,0.95,0.73,116.53,115.76,0.76
15,Indiana Pacers,E,C,38,29,.567,1.04,116.25,115.12,1.14,0.50,116.19,115.60,0.59
16,Dallas Mavericks,W,SW,33,36,.478,-0.43,115.46,115.84,-0.38,0.14,115.52,115.34,0.18
17,Phoenix Suns,W,P,32,37,.464,-1.36,116.61,117.95,-1.34,-1.62,116.58,118.19,-1.61
18,Miami Heat,E,SE,29,39,.426,-1.68,111.90,113.70,-1.80,-1.76,111.91,113.77,-1.86
19,Orlando Magic,E,SE,32,37,.464,-1.45,108.34,109.81,-1.47,-1.84,107.99,109.86,-1.87
20,Atlanta Hawks,E,SE,33,36,.478,-2.07,113.42,115.31,-1.89,-2.19,113.36,115.36,-2.00
21,San Antonio Spurs,W,SW,28,39,.418,-2.49,114.59,117.02,-2.43,-2.47,114.65,117.07,-2.42
22,Portland Trail Blazers,W,NW,30,39,.435,-3.62,111.75,115.15,-3.40,-3.40,111.78,114.97,-3.20
23,Chicago Bulls,E,C,29,39,.426,-3.26,112.81,116.00,-3.19,-3.45,112.86,116.23,-3.36
24,Toronto Raptors,E,A,24,45,.348,-5.13,110.66,115.88,-5.23,-4.54,110.89,115.53,-4.63
25,Philadelphia 76ers,E,A,23,45,.338,-4.99,112.47,117.64,-5.17,-4.84,112.69,117.70,-5.01
26,Brooklyn Nets,E,A,23,46,.333,-6.07,109.56,115.74,-6.18,-5.77,109.69,115.57,-5.88
27,Utah Jazz,W,NW,15,54,.217,-7.62,111.64,119.30,-7.66,-7.13,111.77,118.94,-7.17
28,New Orleans Pelicans,W,SW,18,51,.261,-8.71,110.73,119.68,-8.94,-7.93,110.81,118.97,-8.16
29,Charlotte Hornets,E,SE,17,51,.250,-8.03,107.73,115.90,-8.17,-8.23,107.71,116.07,-8.36
30,Washington Wizards,E,SE,15,52,.224,-11.79,106.96,118.57,-11.61,-11.21,107.20,118.22,-11.02
