Team,eFG%,TS%,USG%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,NRtg,Value_per_Dollar,Cap_Impact_Score,2024-25_Payroll,2025-26_Payroll,KMeans_Cluster,Hierarchical_Cluster,GMM_Cluster
ATL,0.29297339024999997,0.3489598395,-0.27645335925000003,-0.37031244175,-0.3239838135,-0.0533436395,0.25657637224999996,113.6,115.33,-1.73,-1.6081078380384433e-07,0.6383596014997616,671078164,578720256,0,5,4
BOS,-0.36095981250000003,-0.125794205,-0.25373116525000006,-0.67054133225,-0.42580729775000004,-0.30939310924999996,0.891689186,120.43,111.41,9.02,7.332468936588776e-07,-0.570743640028458,773345792,902056552,4,4,2
BRK,-0.5902843327999999,-0.2697040244,1.1268693376,1.0671690167999999,0.15180955820000003,0.09459605400000001,-0.0941163552,109.22,115.37,-6.16,-7.697708199826208e-07,9.242208265890065,845273380,296749410,1,3,1
CHI,-0.13004276066666667,0.029984465999999987,0.4203605876666667,1.2899894946666668,-0.24684481000000003,-0.7551088526666666,-0.5212067113333333,113.62,116.16000000000001,-2.54,-3.561521878494335e-07,0.6912984375237076,497758062,404539002,2,2,1
CLE,0.02124772150000001,-0.35946221074999996,-0.38551989025,-0.0773179825,-0.31472713300000005,0.060456124750000007,-0.30950244000000005,122.38,112.29,10.09,1.098958848129932e-06,-0.7406900893903624,676320652,830016992,4,4,2
DAL,0.4950258106666667,0.6580445036666667,0.5051901116666666,0.257877325,0.15427800633333336,0.19322251666666668,-0.3739341746666667,115.66000000000001,116.01,-0.34,-2.360049089021052e-08,-0.2341268738931837,525715590,570216600,2,5,4
DEN,-0.21763198724999996,-0.19255649249999995,-0.6127418295,-0.64160360775,0.9719514399999999,-0.33784305049999996,-0.08859363525,119.89,116.17,3.72,2.8940442553046497e-07,-0.3390107971062644,730297260,797923424,4,4,2
DET,0.03319170675000001,0.245107392375,0.105279498625,-0.13519343125000005,-0.09488097375,0.14580594812500003,-0.09549703537500001,114.34,112.16,2.18,6.875384522831364e-07,0.8999854018574912,1134465760,1019746176,4,4,2
GSW,-0.12506610024999998,-0.15917534875,0.49610123425,0.46164713425,-0.1897619475,0.6294549465,-0.005752833499999999,114.39,111.95,2.44,1.750320509509692e-07,0.1232397596425732,703038776,682025608,2,2,1
HOU,-0.48039966700000003,-0.6747285685,-0.6854528499999999,-0.1858344485,0.573914184,0.060456124500000014,-0.060980035000000016,114.51,110.12,4.4,2.0538378586032993e-07,-0.2153181423498824,335610860,376101610,4,4,4
IND,0.40942724799999997,0.423140159,0.2961459275,-0.7211823500000001,0.1295935255,-0.22404328599999998,2.7003800250000003,116.06,114.77,1.3,6.164584933754422e-08,0.0432424864311214,337139534,330004428,0,5,0
LAC,0.200407503,0.623427021,-0.440053156,-0.938215283,-0.999721481,-0.679242343,-0.944615254,114.07,110.6,3.47,7.05201419344874e-08,-0.0056758137116967,169670454,170638969,0,5,4
LAL,0.6662229353333333,0.7618969509999999,-0.6763639723333333,-0.6777757633333333,-0.40112281666666666,-0.26197654066666665,0.15992877,115.06,114.15000000000002,0.92,5.663996345491054e-08,-0.0192920868590934,564066459,567717276,0,5,4
MEM,0.5169231175,0.6160089895,-0.09467580849999999,0.6678284205,-0.2962137725,-0.224043286,-0.5027976445,117.9,112.92,4.98,2.711999536019357e-07,0.4031135737677704,326482586,271716318,0,5,4
MIA,0.069023663,0.222853296,-0.512764176,-0.504149417,-0.907154677,0.003556243,-0.668479248,111.86,113.72,-1.85,-5.3087177179745154e-08,-0.0303048318730319,173088172,178497509,0,5,4
MIL,0.04911702083333334,0.05718391649999999,-0.19162383533333335,-0.19789183383333334,-0.26535817083333335,-0.16714340399999997,-0.4567749766666666,114.96999999999998,112.57,2.39,2.9392668755117586e-07,0.648867590041398,1095601206,988680726,4,4,2
MIN,0.6761762563333334,0.027511788666666665,0.265849669,0.19035596816666667,-0.06788232300000001,-0.16714340383333334,-0.1438208365,116.08,111.42,4.66,6.379543696520272e-07,0.3897796141457022,1214953092,1140840372,4,4,2
NOP,-0.8466818873333334,-1.6316546893333335,-0.13709057,1.0922483779999999,0.697336589,-0.11024352166666669,-0.20825257100000003,110.67,119.90000000000002,-9.23,-7.539685457065861e-07,-0.0050939486045625,510804195,511673007,3,1,1
NYK,0.10684628366666664,0.00525769283333329,-0.3643125093333333,-0.5596133886666667,0.4998607406666667,0.13632263433333336,0.2887922395,118.56,114.41000000000001,4.15,5.060379061005004e-07,-0.242504435224932,1130255244,1177861344,4,4,2
OKC,0.618446993,0.801459788,-0.149209073,-0.735651212,-1.147828367,-1.020641636,2.47947122,120.27,107.26,13.01,3.628002827667077e-07,-0.0721684335386055,164952350,177782645,0,5,0
ORL,-0.2504779475,-0.14804830074999997,0.6597010302499999,0.39292003875,-0.43969231825,-0.053343639499999984,-0.37853644150000004,108.56,109.9,-1.33,-2.128e-07,-0.9832753157784752,601436952,797470124,2,2,1
PHI,0.41539924100000003,0.408304095,-0.9308525440000001,-0.475211693,0.2221603295,0.5156551819999999,-0.806547251,112.39,117.99,-5.6,-2.178312880336833e-07,-0.0618789877093026,338015776,348807710,0,5,3
POR,-0.25943593649999996,-0.214810588,0.41430133550000003,0.25546584799999994,-0.046283402,0.6294549465,-0.17143443700000002,112.15,114.94,-2.79,-1.6409290763986589e-07,-0.0438440233402974,334173226,341663170,2,2,1
SAC,-0.8673847948000001,-0.8601793674,-0.25464005300000003,-0.5562373208,0.314727133,-0.0647236162,-0.4917522040000001,116.95,116.25,0.7,7.859527341499157e-08,-0.004957822264414,841318980,842154030,4,4,2
SAS,1.161898331,1.1204351615,-0.26736448150000003,-0.48968055450000003,0.16662024649999996,0.2880556535,0.7398143825,114.94,116.96,-2.02,-1.15930916651984e-07,0.21759917725729,323367234,291637224,0,5,4
TOR,0.06305167050000002,0.17092707249999997,0.477923479,-0.0990212755,0.24067369000000005,-0.451642815,1.2368591935000002,110.67,115.86,-5.2,-2.8875894736257573e-07,-0.0889369791160372,338909294,354681442,2,2,1
UTA,0.30491737575000005,0.582627846,0.986900623,0.5629291694999999,0.3239838135,-0.48009275575,0.46367837650000004,111.76,119.31,-7.54,-7.150918523155131e-07,0.0858048588233924,614238452,601339000,2,2,1
WAS,-0.5149114985,-0.2075487255,-1.0399190754999998,1.39127153,-0.0555400825,2.56405094,-0.944615254,106.89,118.71,-11.82,-7.625806451612904e-07,0.1679526876946208,335366626,309385558,3,1,3
