Player,Team,FG%,3P%,2P%,eFG%,TS%,PTS,AST,AST%,TRB%,ORB%,DRB%,BLK%,STL%,TRB%,ORB,DRB,TRB,FTr,3PAr,STL,BLK,TOV,TOV%,USG%,PER,WS,WS/48,BPM,VORP,OBPM,DBPM,DWS,OWS,OnCourt,On-Off,2024-25,Guaranteed,BadPass,LostBall,OnCourt,2024-25_Payroll
A.J. Green,MIL,0.425,0.417,0.471,0.603,0.613,7.4,1.4,8.2,5.4,1.1,9.3,0.4,1.2,5.4,0.2,2.0,2.2,0.067,0.858,0.6,0.1,0.5,8.2,12.8,9.2,2.4,0.082,-2.3,-0.1,-2.0,-0.3,1.1,1.2,2.6,1.4,$2120693,$2120693,15,8,2.6,182600201
Aaron Holiday,HOU,0.432,0.389,0.513,0.559,0.587,5.4,1.3,13.7,5.3,1.7,9.1,0.9,1.2,5.3,0.2,1.1,1.3,0.182,0.655,0.3,0.1,0.6,11.5,16.5,11.8,1.7,0.12,-0.5,0.2,-0.9,0.3,0.7,0.9,4.7,0.5,$4668000,$4668000,17,9,4.7,167805430
Aaron Nesmith,IND,0.5,0.414,0.59,0.606,0.639,11.2,1.4,7.8,8.4,3.3,13.5,1.4,1.3,8.4,0.7,3.0,3.7,0.196,0.512,0.7,0.4,0.8,8.1,16.8,13.7,1.8,0.111,-1.3,0.1,-0.4,-0.8,0.6,1.2,10.0,11.5,$11000000,$33000000,11,6,10.0,168569767
Ajay Mitchell,OKC,0.506,0.431,0.539,0.572,0.604,6.4,1.7,13.1,6.4,3.3,9.3,0.5,2.1,6.4,0.5,1.5,2.0,0.199,0.307,0.7,0.1,0.8,13.4,15.8,12.3,1.5,0.128,-1.2,0.1,-2.2,1.0,0.8,0.7,9.4,-4.0,$3000000,$3000000,16,8,9.4,164952350
Alec Burks,MIA,0.407,0.419,0.375,0.559,0.587,6.4,1.1,9.2,8.4,2.3,14.4,0.9,1.7,8.4,0.4,2.3,2.7,0.232,0.729,0.6,0.2,0.4,7.6,14.7,12.1,1.3,0.097,-0.1,0.3,-0.7,0.6,0.7,0.6,5.2,8.5,$2087519,$2087519,11,1,5.2,173088172
Amen Thompson,HOU,0.553,0.256,0.597,0.569,0.601,14.0,3.6,15.9,13.6,8.8,18.5,3.4,2.0,13.6,2.8,5.6,8.3,0.381,0.13,1.3,1.3,2.1,15.3,17.4,18.1,6.7,0.166,3.4,2.6,1.0,2.3,3.5,3.3,4.6,0.6,$9249960,$18940560,51,43,4.6,167805430
Amir Coffey,LAC,0.471,0.413,0.525,0.57,0.614,10.1,1.1,6.2,5.1,2.1,8.1,0.4,1.1,5.1,0.5,1.8,2.3,0.239,0.483,0.6,0.1,0.6,7.1,15.1,11.3,3.9,0.11,-1.9,0.1,-1.5,-0.4,1.5,2.4,-1.1,-8.3,$3938271,$3938271,18,14,-1.1,169670454
Andre Jackson Jr.,MIL,0.467,0.392,0.518,0.546,0.55,3.6,1.3,10.9,10.1,7.4,12.6,1.3,1.6,10.1,1.0,1.9,2.9,0.098,0.402,0.5,0.2,0.9,21.6,11.7,8.4,1.1,0.06,-3.5,-0.3,-3.8,0.3,1.0,0.1,-0.7,-3.3,$1891857,$1891857,32,7,-0.7,182600201
Anfernee Simons,POR,0.433,0.373,0.5,0.532,0.567,19.5,4.8,23.5,4.5,1.0,8.1,0.2,1.3,4.5,0.3,2.4,2.7,0.174,0.528,0.9,0.1,2.1,10.8,24.7,15.4,4.0,0.091,0.3,1.2,1.9,-1.6,1.0,3.0,-4.7,-2.1,$25892857,$53571428,80,40,-4.7,167086613
Anthony Black,ORL,0.415,0.316,0.46,0.464,0.517,9.0,3.0,19.7,6.5,2.7,10.8,2.1,2.2,6.5,0.6,2.1,2.7,0.363,0.312,1.0,0.5,1.7,16.5,19.1,11.0,1.7,0.054,-2.4,-0.2,-3.4,1.0,2.3,-0.5,-3.6,-3.1,$7607760,$15578040,61,33,-3.6,150359238
Antonio Reeves,NOP,0.415,0.358,0.482,0.512,0.532,4.3,0.7,9.7,5.7,4.3,7.2,0.6,1.6,5.7,0.4,0.7,1.1,0.106,0.545,0.3,0.1,0.5,11.1,17.9,10.3,0.0,0.006,-3.7,-0.1,-1.5,-2.1,0.0,0.0,-9.5,-0.5,$1157153,$1157153,9,5,-9.5,170268065
Ausar Thompson,DET,0.55,0.243,0.587,0.563,0.577,9.5,2.2,14.7,12.7,9.6,15.6,2.5,3.8,12.7,1.9,3.1,4.9,0.309,0.109,1.7,0.6,1.4,14.8,18.9,17.2,3.0,0.142,1.6,0.9,-1.0,2.6,1.9,1.1,5.5,4.4,$8376000,$17151000,34,22,5.5,141808220
Austin Reaves,LAL,0.446,0.366,0.53,0.54,0.6,19.6,6.0,25.7,7.3,2.8,11.5,0.8,1.6,7.3,0.8,3.7,4.5,0.352,0.51,1.2,0.3,2.4,13.0,23.8,17.7,5.9,0.137,1.7,2.0,2.1,-0.4,1.9,4.0,4.5,6.4,$12976362,$26913936,92,39,4.5,188022153
