Player,BadPass,LostBall,OnCourt,On-Off,DWS,OWS
A.J. Green,15,8,2.6,1.4,1.1,1.2
Aaron Holiday,17,9,4.7,0.5,0.7,0.9
Aaron Nesmith,11,6,10.0,11.5,0.6,1.2
Ajay Mitchell,16,8,9.4,-4.0,0.8,0.7
Alec Burks,11,1,5.2,8.5,0.7,0.6
Amen Thompson,51,43,4.6,0.6,3.5,3.3
Amir Coffey,18,14,-1.1,-8.3,1.5,2.4
Andre Jackson Jr.,32,7,-0.7,-3.3,1.0,0.1
Anfernee Simons,80,40,-4.7,-2.1,1.0,3.0
Anthony Black,61,33,-3.6,-3.1,2.3,-0.5
Antonio Reeves,9,5,-9.5,-0.5,0.0,0.0
Ausar Thompson,34,22,5.5,4.4,1.9,1.1
Austin Reaves,92,39,4.5,6.4,1.9,4.0
Ayo Dosunmu,41,17,-7.1,-7.4,0.9,1.6
Ben Sheppard,9,5,-1.5,-4.1,0.7,1.1
Bennedict Mathurin,45,45,1.4,0.5,1.2,1.1
Bismack Biyombo,5,4,-12.4,-10.5,0.3,0.3
Bobby Portis,22,14,2.0,0.5,1.8,0.7
Brandin Podziemski,31,15,6.7,6.3,1.7,1.2
Brandon Clarke,14,13,8.8,4.6,1.7,2.8
Brice Sensabaugh,51,18,-11.3,-5.6,0.3,0.4
CJ McCollum,60,28,-7.9,2.4,0.1,1.4
Caleb Houstan,2,2,-10.8,-10.5,0.5,0.4
Cam Thomas,21,27,-7.2,-0.8,0.3,0.9
Cameron Johnson,48,31,-5.8,1.6,1.2,3.8
Cameron Payne,19,13,9.7,7.0,0.8,1.2
Cason Wallace,27,15,10.9,-3.7,3.0,1.4
Charles Bassey,6,9,-14.7,-13.5,0.6,0.5
Chet Holmgren,6,27,15.7,3.6,1.5,0.8
Chris Boucher,10,10,-0.6,6.0,0.9,1.7
Christian Braun,33,15,8.4,11.9,1.6,5.1
Chuma Okeke,0,1,-6.6,-1.5,0.0,0.0
Clint Capela,17,9,-3.1,-1.4,1.5,1.7
Coby White,63,46,-4.9,-5.3,1.1,1.6
Cole Anthony,59,25,-2.0,-0.2,1.7,-0.2
Collin Sexton,61,57,-4.0,6.3,0.1,1.9
Dalano Banton,33,20,-1.5,3.2,0.8,0.1
Dalen Terry,20,9,-11.0,-10.6,0.6,0.4
Daniel Gafford,15,20,1.8,3.4,1.4,3.9
Dante Exum,13,2,-7.9,-8.4,0.2,0.5
Dario Šarić,9,3,-10.0,-15.4,0.2,-0.2
David Roddy,11,8,12.5,17.8,0.4,0.2
Day'Ron Sharpe,20,15,1.6,10.9,1.2,1.4
De'Andre Hunter,24,29,15.2,4.9,1.0,2.7
De'Anthony Melton,2,3,14.4,12.0,0.2,0.0
Dean Wade,6,6,13.1,3.2,1.5,1.0
Deandre Ayton,21,25,-6.8,-4.5,1.5,1.3
Derrick Jones Jr.,23,22,5.2,4.4,2.1,1.8
Dillon Brooks,31,15,4.4,0.1,2.3,2.2
Donte DiVincenzo,53,20,5.9,2.6,1.9,1.5
Duncan Robinson,46,17,0.4,4.0,1.1,1.1
Dyson Daniels,72,35,-1.6,1.5,3.1,0.9
Elfrid Payton,22,4,-4.9,4.3,0.2,-0.1
Fred VanVleet,46,17,5.9,3.3,2.5,2.1
Gabe Vincent,23,3,0.8,-2.4,0.9,0.1
Garrison Mathews,15,6,-4.0,-2.4,0.5,1.0
Gary Harris,5,2,1.8,4.4,0.7,0.0
Gary Payton II,15,4,7.9,6.7,1.3,1.5
Gary Trent Jr.,10,16,0.0,-3.3,1.4,1.1
Goga Bitadze,19,13,0.9,4.5,2.5,2.4
Gradey Dick,38,32,-6.6,-2.8,0.9,0.3
Guerschon Yabusele,22,29,-2.5,5.2,0.9,2.4
Gui Santos,24,7,10.9,9.8,0.7,0.7
Harrison Barnes,24,9,-2.8,0.0,0.3,4.0
Haywood Highsmith,16,13,-0.1,2.8,1.6,0.9
Herbert Jones,20,11,-0.9,10.1,0.3,0.1
Isaac Okoro,7,5,15.4,6.0,0.8,0.9
Isaiah Hartenstein,39,19,12.8,0.0,3.0,2.6
Isaiah Jackson,2,0,6.2,5.2,0.1,0.1
Jabari Smith Jr.,23,20,5.5,2.2,1.9,1.6
Jabari Walker,8,11,-0.5,4.2,0.8,0.8
Jaden Ivey,42,28,-3.9,-8.6,0.9,0.3
Jae'Sean Tate,6,5,5.4,1.3,0.8,0.7
Jaime Jaquez Jr.,37,32,-6.7,-8.1,1.5,0.2
Jakob Poeltl,46,26,-1.0,7.8,2.1,2.8
Jalen Duren,59,28,1.8,-1.4,3.0,4.7
Jalen Pickett,10,3,6.1,1.8,0.2,0.3
Jalen Smith,12,6,-2.7,0.2,1.1,1.5
Jalen Williams,61,57,10.1,-6.9,3.8,3.1
Jalen Wilson,30,24,-6.8,-0.5,0.8,0.6
Jamal Shead,67,12,-9.8,-7.0,0.6,-0.2
Jamison Battle,8,6,-10.4,-6.6,0.3,0.9
Jarace Walker,39,17,-7.7,-12.6,1.2,-0.4
Jaren Jackson Jr.,37,52,8.6,6.1,2.7,3.2
Javonte Green,14,8,9.5,-1.3,0.7,1.0
Jaxson Hayes,14,4,7.8,7.4,1.2,1.9
Jaylen Nowell,6,1,-12.9,-4.1,0.0,-0.2
Jaylin Williams,13,5,16.2,4.2,1.3,0.8
Jeremiah Robinson-Earl,18,10,-12.7,-5.1,0.4,1.1
Jeremy Sochan,31,21,-2.6,0.3,0.9,1.7
Jett Howard,17,6,-6.8,-6.0,0.7,-0.5
Jock Landale,4,6,-3.6,-9.0,0.5,0.6
John Collins,36,34,-0.3,11.4,1.0,1.7
John Konchar,6,6,5.4,-0.6,0.7,0.5
Jonathan Kuminga,26,19,0.5,-3.2,1.1,0.4
Jonathan Mogbo,18,12,-10.9,-7.9,1.0,0.3
Jordan Clarkson,34,30,-11.1,-4.9,0.3,0.5
Jordan Hawkins,21,20,-12.8,-5.9,0.1,-0.6
Jordan Poole,92,55,-13.8,-5.1,0.8,0.7
Jose Alvarado,37,9,-6.9,3.1,0.4,1.2
Josh Giddey,108,39,-2.5,0.8,1.9,2.0
Julian Champagnie,29,15,0.0,5.5,1.0,1.0
Julian Phillips,7,8,-1.2,2.3,0.6,0.9
Julian Strawther,22,17,-1.6,-10.2,0.7,0.5
Julius Randle,64,53,3.9,-0.9,2.1,2.9
Justin Edwards,11,15,-11.2,-8.1,0.4,0.4
Karlo Matković,17,4,-8.0,1.2,0.4,0.6
Keegan Murray,18,22,1.8,2.4,1.7,1.9
Keldon Johnson,26,21,-6.5,-7.0,0.8,1.9
Kelly Oubre Jr.,28,37,-5.6,-1.4,1.5,1.3
Kenrich Williams,11,12,16.6,5.0,1.4,1.2
Kentavious Caldwell-Pope,35,11,-1.1,2.0,2.5,0.8
Keon Ellis,31,12,4.4,6.2,1.7,2.2
Keon Johnson,44,31,-9.6,-5.9,1.5,-1.1
Kevon Looney,12,9,4.0,1.6,1.8,1.8
Keyonte George,84,44,-10.6,-6.1,0.3,1.0
Kobe Bufkin,4,2,-9.5,-7.7,0.1,0.0
Kris Dunn,36,15,5.1,3.9,2.6,0.4
Kris Murray,14,12,-1.7,3.0,0.6,0.1
Kristaps Porziņģis,13,10,3.4,-7.0,1.7,2.5
Landry Shamet,9,3,6.8,2.6,0.3,0.1
Larry Nance Jr.,12,0,-8.9,-7.9,0.5,0.8
Lonzo Ball,34,3,6.5,12.4,0.9,0.3
Luguentz Dort,18,12,13.1,0.7,2.8,1.9
Luke Kennard,40,16,5.1,-1.1,1.0,2.5
Luke Kornet,11,6,11.6,4.8,1.7,3.6
Malcolm Brogdon,20,17,-9.8,2.1,0.2,0.6
Malik Beasley,40,25,3.1,1.4,1.8,2.4
Marcus Sasser,21,14,1.7,-0.9,0.7,0.8
Max Strus,20,10,9.9,-1.4,1.1,1.8
Michael Porter Jr.,36,32,5.9,4.4,1.5,4.1
Miles McBride,19,11,8.7,7.1,1.2,1.7
Mitchell Robinson,3,1,15.7,11.6,0.2,0.3
Moritz Wagner,12,17,-3.0,-1.3,1.0,1.0
Moses Brown,5,0,-0.5,-0.1,0.2,0.2
Mouhamed Gueye,3,4,1.2,3.7,0.5,0.1
Myles Turner,35,29,3.3,4.7,2.1,1.3
Naji Marshall,48,26,-2.1,-3.0,1.2,1.6
Naz Reid,41,31,6.9,6.0,2.9,2.1
Neemias Queta,5,8,11.5,4.1,1.1,1.5
Nickeil Alexander-Walker,62,16,6.2,3.9,1.9,1.5
Nikola Jović,29,14,-1.3,0.5,1.2,1.2
Norman Powell,38,36,6.1,6.1,1.8,2.7
Ochai Agbaji,15,14,-6.4,-2.3,1.1,1.5
