Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
9.0,Tyrese Maxey,24.0,PHI,PG,52.0,52.0,37.7,9.2,21.0,0.437,3.1,9.2,0.337,6.1,11.8,0.515,0.511,4.9,5.6,0.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,,maxeyty01
12.0,Cade Cunningham,23.0,DET,PG,64.0,64.0,35.1,9.5,20.5,0.461,2.1,6.1,0.35,7.3,14.4,0.508,0.513,4.6,5.3,0.861,0.8,5.3,6.0,9.3,1.0,0.7,4.5,2.8,25.6,,cunnica01
14.0,Paolo Banchero,22.0,ORL,PF,35.0,35.0,34.1,8.6,19.4,0.444,1.9,5.9,0.325,6.7,13.5,0.496,0.493,6.0,8.4,0.713,1.1,6.1,7.2,4.7,0.8,0.7,2.8,2.1,25.1,,banchpa01
17.0,Kyrie Irving,32.0,DAL,SG,50.0,50.0,36.1,8.9,18.9,0.473,2.9,7.2,0.401,6.1,11.7,0.517,0.549,3.9,4.3,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7,,irvinky01
18.0,Zion Williamson,24.0,NOP,PF,29.0,29.0,28.5,9.5,17.0,0.561,0.1,0.4,0.231,9.4,16.5,0.57,0.564,5.3,8.0,0.659,2.6,4.7,7.3,5.2,1.2,0.9,3.0,2.7,24.4,,willizi01
21.0,Franz Wagner,23.0,ORL,SF,49.0,49.0,33.7,9.0,19.3,0.463,1.7,5.7,0.299,7.2,13.6,0.532,0.507,4.7,5.5,0.858,1.0,4.6,5.6,4.7,1.3,0.4,2.4,2.6,24.3,,wagnefr01
24.0,Trae Young,26.0,ATL,PG,64.0,64.0,36.1,7.4,18.2,0.406,2.8,8.5,0.328,4.6,9.8,0.474,0.482,6.5,7.4,0.873,0.5,2.7,3.2,11.4,1.2,0.2,4.8,2.0,24.1,,youngtr01
25.0,Cam Thomas,23.0,BRK,SG,25.0,23.0,31.2,8.0,18.2,0.438,2.7,7.8,0.349,5.2,10.4,0.506,0.513,5.3,6.0,0.881,0.6,2.7,3.3,3.8,0.6,0.1,2.5,1.8,24.0,,thomaca02
29.0,Tyler Herro,25.0,MIA,SG,65.0,65.0,35.5,8.3,18.1,0.46,3.4,9.3,0.367,4.9,8.8,0.559,0.554,3.5,4.1,0.86,0.4,4.9,5.3,5.7,0.9,0.2,2.6,1.2,23.5,,herroty01
30.0,Norman Powell,31.0,LAC,SG,48.0,48.0,32.5,8.0,16.4,0.49,3.2,7.5,0.423,4.9,8.9,0.547,0.587,3.9,4.7,0.824,0.4,3.0,3.4,2.1,1.3,0.2,2.0,1.9,23.2,,powelno01
32.0,James Harden,35.0,LAC,PG,66.0,66.0,35.1,6.5,16.5,0.396,3.0,8.7,0.343,3.5,7.8,0.455,0.486,6.5,7.4,0.873,0.7,5.2,5.9,8.7,1.5,0.6,4.4,2.0,22.5,,hardeja01
33.0,Jaren Jackson Jr.,25.0,MEM,C,62.0,62.0,29.4,8.1,16.3,0.5,1.9,5.1,0.365,6.3,11.2,0.561,0.557,4.4,5.6,0.777,1.3,4.5,5.8,2.1,1.3,1.6,2.1,3.4,22.5,,jacksja02
34.0,Ja Morant,25.0,MEM,PG,43.0,43.0,30.0,7.7,17.0,0.449,1.5,5.3,0.291,6.1,11.8,0.52,0.494,5.5,6.6,0.834,0.6,3.5,4.1,7.4,1.2,0.3,3.7,2.2,22.3,,moranja01
35.0,DeMar DeRozan,35.0,SAC,SF,62.0,62.0,35.8,8.1,16.6,0.486,1.1,3.1,0.356,7.0,13.5,0.517,0.52,4.9,5.6,0.873,0.6,3.4,4.0,4.1,0.9,0.4,1.4,1.9,22.2,,derozde01
37.0,RJ Barrett,24.0,TOR,SF,52.0,52.0,32.9,8.0,17.0,0.472,1.9,5.3,0.359,6.2,11.8,0.523,0.528,3.5,5.4,0.649,1.0,5.4,6.5,5.7,0.8,0.3,3.0,2.5,21.5,,barrerj01
38.0,Jamal Murray,27.0,DEN,PG,61.0,61.0,36.4,7.9,16.7,0.474,2.4,6.0,0.397,5.5,10.7,0.518,0.546,3.3,3.7,0.889,0.7,3.1,3.8,6.1,1.4,0.5,2.1,1.9,21.5,,murraja01
39.0,Jalen Green,22.0,HOU,SG,69.0,69.0,33.4,7.6,17.8,0.425,3.0,8.4,0.357,4.6,9.4,0.485,0.509,3.3,3.9,0.83,0.6,4.0,4.6,3.4,0.9,0.3,2.6,1.6,21.4,,greenja05
40.0,Jalen Williams,23.0,OKC,SG,61.0,61.0,32.6,8.1,16.9,0.478,1.8,5.0,0.362,6.3,11.9,0.528,0.532,3.3,4.2,0.791,0.9,4.6,5.5,5.3,1.7,0.7,2.2,2.4,21.3,,willija06
41.0,Trey Murphy III,24.0,NOP,SF,53.0,51.0,35.0,7.2,15.8,0.454,3.0,8.3,0.361,4.2,7.6,0.556,0.548,3.8,4.3,0.887,0.9,4.2,5.1,3.5,1.1,0.7,1.9,2.1,21.2,,murphtr02
42.0,Miles Bridges,26.0,CHO,PF,53.0,53.0,32.3,7.6,17.2,0.441,2.3,7.1,0.328,5.3,10.2,0.519,0.508,3.6,4.1,0.867,1.1,6.7,7.8,3.9,0.8,0.8,2.1,1.6,21.1,,bridgmi02
43.0,Brandon Miller,22.0,CHO,SF,27.0,27.0,34.2,7.3,18.2,0.403,3.9,10.9,0.355,3.5,7.3,0.475,0.509,2.5,2.9,0.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0,,millebr02
44.0,Darius Garland,25.0,CLE,PG,64.0,64.0,30.5,7.5,15.7,0.476,2.9,7.1,0.407,4.6,8.5,0.534,0.568,3.1,3.5,0.881,0.6,2.1,2.7,6.7,1.2,0.2,2.5,2.0,20.9,,garlada01
45.0,CJ McCollum,33.0,NOP,PG,53.0,53.0,32.7,7.8,17.7,0.442,3.1,8.1,0.376,4.8,9.6,0.498,0.528,2.2,3.1,0.72,0.8,3.0,3.8,4.0,0.8,0.5,1.8,2.2,20.9,,mccolcj01
46.0,Pascal Siakam,30.0,IND,PF,66.0,66.0,32.9,8.1,15.4,0.526,1.7,4.4,0.396,6.4,11.0,0.577,0.582,3.0,4.1,0.743,1.7,5.5,7.2,3.3,0.9,0.5,1.4,2.5,20.9,,siakapa01
47.0,Jordan Poole,25.0,WAS,SG,57.0,57.0,30.5,6.8,16.0,0.424,3.5,9.3,0.377,3.3,6.7,0.49,0.534,3.7,4.2,0.876,0.5,2.7,3.2,4.6,1.4,0.5,3.2,3.1,20.8,,poolejo01
49.0,Austin Reaves,26.0,LAL,SG,60.0,60.0,34.6,6.3,14.1,0.446,2.6,7.2,0.366,3.7,6.9,0.53,0.54,4.3,5.0,0.872,0.8,3.7,4.5,6.0,1.2,0.3,2.4,2.0,19.6,,reaveau01
50.0,Scottie Barnes,23.0,TOR,PF,54.0,54.0,33.7,7.3,16.5,0.442,1.2,4.5,0.266,6.1,12.1,0.507,0.478,3.7,4.9,0.771,1.7,6.1,7.8,5.9,1.5,1.0,2.9,1.9,19.5,,barnesc01
51.0,Anfernee Simons,25.0,POR,SG,65.0,65.0,32.7,6.9,16.0,0.433,3.2,8.4,0.373,3.8,7.5,0.5,0.532,2.5,2.8,0.906,0.3,2.4,2.7,4.8,0.9,0.1,2.1,1.7,19.5,,simonan01
52.0,Coby White,24.0,CHI,SG,61.0,60.0,33.1,6.6,15.2,0.436,3.0,8.3,0.356,3.7,6.9,0.532,0.533,3.3,3.6,0.905,0.3,3.2,3.6,4.5,1.0,0.2,2.3,2.1,19.5,,whiteco01
53.0,Kristaps Porziņģis,29.0,BOS,C,34.0,34.0,29.0,6.6,13.6,0.483,2.3,5.9,0.391,4.3,7.7,0.553,0.568,3.8,4.6,0.81,1.5,5.3,6.8,1.9,0.8,1.6,1.2,2.7,19.3,,porzikr01
54.0,Domantas Sabonis,28.0,SAC,C,58.0,58.0,34.8,7.5,12.7,0.593,1.0,2.3,0.425,6.6,10.4,0.63,0.632,3.1,4.2,0.748,3.8,10.0,13.9,6.2,0.6,0.4,2.9,3.3,19.2,,sabondo01
55.0,Desmond Bane,26.0,MEM,SG,57.0,56.0,31.6,7.1,14.5,0.487,2.3,5.8,0.393,4.8,8.7,0.55,0.566,2.6,3.0,0.882,0.9,5.3,6.3,5.5,1.2,0.4,2.6,2.4,19.1,,banede01
56.0,Alperen Şengün,22.0,HOU,C,65.0,65.0,31.3,7.5,14.9,0.502,0.3,1.3,0.241,7.2,13.7,0.526,0.512,3.8,5.6,0.693,3.5,7.0,10.5,4.9,1.1,0.8,2.7,2.9,19.1,,sengual01
57.0,John Collins,27.0,UTA,PF,40.0,31.0,30.5,7.0,13.3,0.527,1.5,3.7,0.399,5.5,9.6,0.577,0.583,3.5,4.1,0.848,2.2,6.0,8.2,2.0,1.0,1.0,2.6,2.9,19.0,,collijo01
58.0,Lauri Markkanen,27.0,UTA,PF,47.0,47.0,31.4,6.3,14.9,0.423,2.9,8.5,0.346,3.4,6.4,0.525,0.521,3.4,3.9,0.876,1.5,4.4,5.9,1.5,0.7,0.4,1.4,1.7,19.0,,markkla01
59.0,Cameron Johnson,28.0,BRK,PF,53.0,53.0,31.9,6.3,13.2,0.476,2.9,7.2,0.398,3.4,5.9,0.571,0.586,3.5,3.9,0.885,0.9,3.3,4.3,3.2,1.0,0.5,1.7,1.9,18.9,,johnsca02
60.0,Jalen Johnson,23.0,ATL,SF,36.0,36.0,35.7,7.5,15.1,0.5,1.2,3.9,0.312,6.3,11.1,0.566,0.541,2.6,3.5,0.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,,johnsja05
61.0,Julius Randle,30.0,MIN,PF,57.0,57.0,32.3,6.5,13.7,0.474,1.5,4.5,0.325,5.1,9.2,0.546,0.527,4.3,5.3,0.807,2.2,4.9,7.1,4.7,0.7,0.2,2.8,2.5,18.7,,randlju01
62.0,Evan Mobley,23.0,CLE,PF,60.0,60.0,30.3,7.2,12.6,0.568,1.1,3.0,0.365,6.1,9.7,0.63,0.611,3.2,4.3,0.736,2.3,7.0,9.2,3.1,0.9,1.5,2.0,2.0,18.6,,mobleev01
63.0,Nikola Vučević,34.0,CHI,C,60.0,59.0,31.8,7.6,14.3,0.529,1.8,4.5,0.39,5.8,9.8,0.592,0.59,1.7,2.1,0.815,2.3,7.9,10.1,3.4,0.8,0.6,1.7,2.4,18.6,,vucevni01
