Player,Team,Cluster
A.J. Green,MIL,0
Aaron Holiday,HOU,0
Aaron Nesmith,IND,0
Ajay Mitchell,OKC,0
Alec Burks,MIA,0
Amen Thompson,HOU,1
Amir Coffey,LAC,0
Andre Jackson Jr.,MIL,0
Anfernee Simons,POR,1
Anthony Black,ORL,0
Antonio Reeves,NOP,0
Ausar Thompson,DET,2
Austin Reaves,LAL,1
Ayo Dosunmu,CHI,0
Ben Sheppard,IND,0
Bennedict Mathurin,IND,0
Bismack Biyombo,SAS,2
Bobby Portis,MIL,1
Brandin Podziemski,GSW,0
Brandon Clarke,MEM,2
Brice Sensabaugh,UTA,0
CJ McCollum,NOP,0
Caleb Houstan,ORL,0
Cam Thomas,BRK,0
Cameron Johnson,BRK,1
Cameron Payne,NYK,0
Cason Wallace,OKC,1
Charles Bassey,SAS,2
Chet Holmgren,OKC,2
Chris Boucher,TOR,1
Christian Braun,DEN,1
Chuma Okeke,PHI,0
Clint Capela,ATL,2
Coby White,CHI,0
Cole Anthony,ORL,0
Collin Sexton,UTA,0
Dalano Banton,POR,0
Dalen Terry,CHI,0
Daniel Gafford,DAL,2
Dante Exum,DAL,0
Dario Šarić,DEN,0
David Roddy,ATL,1
Day'Ron Sharpe,BRK,2
De'Andre Hunter,CLE,1
De'Anthony Melton,GSW,0
Dean Wade,CLE,0
Deandre Ayton,POR,2
Derrick Jones Jr.,LAC,1
Dillon Brooks,HOU,0
Donte DiVincenzo,MIN,1
Duncan Robinson,MIA,0
Dyson Daniels,ATL,1
Elfrid Payton,NOP,0
Fred VanVleet,HOU,1
Gabe Vincent,LAL,0
Garrison Mathews,ATL,0
Gary Harris,ORL,0
Gary Payton II,GSW,1
Gary Trent Jr.,MIL,0
Goga Bitadze,ORL,2
Gradey Dick,TOR,0
Guerschon Yabusele,PHI,1
Gui Santos,GSW,0
Harrison Barnes,SAS,1
Haywood Highsmith,MIA,0
Herbert Jones,NOP,0
Isaac Okoro,CLE,0
Isaiah Hartenstein,OKC,2
Isaiah Jackson,IND,2
Jabari Smith Jr.,HOU,0
Jabari Walker,POR,0
Jaden Ivey,DET,0
Jae'Sean Tate,HOU,0
Jaime Jaquez Jr.,MIA,0
Jakob Poeltl,TOR,2
Jalen Duren,DET,2
Jalen Pickett,DEN,0
Jalen Smith,CHI,1
Jalen Williams,OKC,1
Jalen Wilson,BRK,0
Jamal Shead,TOR,0
Jamison Battle,TOR,0
Jarace Walker,IND,0
Jaren Jackson Jr.,MEM,1
Javonte Green,NOP,1
Jaxson Hayes,LAL,2
Jaylen Nowell,NOP,0
Jaylin Williams,OKC,1
Jeremiah Robinson-Earl,NOP,0
Jeremy Sochan,SAS,2
Jett Howard,ORL,0
Jock Landale,HOU,0
John Collins,UTA,1
John Konchar,MEM,0
Jonathan Kuminga,GSW,0
Jonathan Mogbo,TOR,0
Jordan Clarkson,UTA,0
Jordan Hawkins,NOP,0
Jordan Poole,WAS,0
Jose Alvarado,NOP,0
Josh Giddey,CHI,1
Julian Champagnie,SAS,0
Julian Phillips,CHI,0
Julian Strawther,DEN,0
Julius Randle,MIN,1
Justin Edwards,PHI,0
Karlo Matković,NOP,2
Keegan Murray,SAC,0
Keldon Johnson,SAS,0
Kelly Oubre Jr.,PHI,0
Kenrich Williams,OKC,1
Kentavious Caldwell-Pope,ORL,0
Keon Ellis,SAC,1
Keon Johnson,BRK,0
Kevon Looney,GSW,2
Keyonte George,UTA,0
Kobe Bufkin,ATL,0
Kris Dunn,LAC,0
Kris Murray,POR,0
Kristaps Porziņģis,BOS,1
Landry Shamet,NYK,0
Larry Nance Jr.,ATL,0
Lonzo Ball,CHI,0
Luguentz Dort,OKC,1
Luke Kennard,MEM,1
Luke Kornet,BOS,2
Malcolm Brogdon,WAS,0
Malik Beasley,DET,1
Marcus Sasser,DET,0
Max Strus,CLE,1
Michael Porter Jr.,DEN,1
Miles McBride,NYK,0
Mitchell Robinson,NYK,2
Moritz Wagner,ORL,2
Moses Brown,DAL,2
Mouhamed Gueye,ATL,0
Myles Turner,IND,1
Naji Marshall,DAL,0
Naz Reid,MIN,1
Neemias Queta,BOS,2
Nickeil Alexander-Walker,MIN,0
Nikola Jović,MIA,0
Norman Powell,LAC,1
Ochai Agbaji,TOR,0
Olivier-Maxence Prosper,DAL,0
Orlando Robinson,TOR,0
Ousmane Dieng,OKC,0
P.J. Washington,DAL,0
Paolo Banchero,ORL,1
Pat Connaughton,MIL,0
Pelle Larsson,MIA,0
Peyton Watson,DEN,0
Precious Achiuwa,NYK,0
Quinten Post,GSW,0
RJ Barrett,TOR,1
Richaun Holmes,WAS,2
Ricky Council IV,PHI,0
Robert Williams,POR,2
Rui Hachimura,LAL,1
Ryan Rollins,MIL,0
Sam Merrill,CLE,0
Santi Aldama,MEM,1
Shaedon Sharpe,POR,0
Simone Fontecchio,DET,0
Spencer Dinwiddie,DAL,0
Steven Adams,HOU,2
Talen Horton-Tucker,CHI,0
Tari Eason,HOU,1
Taurean Prince,MIL,0
Taylor Hendricks,UTA,0
Terry Rozier,MIA,0
Tim Hardaway Jr.,DET,0
Tobias Harris,DET,1
Toumani Camara,POR,0
Trae Young,ATL,1
Trayce Jackson-Davis,GSW,2
Trendon Watford,BRK,0
Trey Lyles,SAC,0
Ty Jerome,CLE,1
Tyler Herro,MIA,1
Vince Williams Jr.,MEM,0
Walker Kessler,UTA,2
Wendell Moore Jr.,DET,0
Ziaire Williams,BRK,0
